Uhrzeit,Relative Bedarf,Normierter Bedarf (Prozent),Strombedarf (kWh),
21:00:00,0.49214088458862,0.01749201493122779,235092.68067570147,
21:15:00,0.472481822056566,0.016793278804819445,225701.66713677335,
21:30:00,0.443648530342888,0.01576846581942058,211928.18061301258,
21:45:00,0.422678863642031,0.01502314728458503,201911.0995048228,
22:00:00,0.403675103194379,0.014347702362390302,192833.1197505257,
22:15:00,0.380739530240317,0.013532510214913933,181876.93728844327,
22:30:00,0.360425165623862,0.012810482884292004,172172.88996488455,
22:45:00,0.342076707260612,0.012158329166310896,163407.94399521846,
23:00:00,0.322946262410622,0.01147838153863763,154269.44787928974,
23:15:00,0.35619277,0.01266005212398372,170151.10054634121,
23:30:00,0.389439277,0.013841722688381727,186032.75293185044,
23:45:00,0.422685785,0.015023393288322433,201914.40579505352,
