Tageszeit;-17;-16;-15;-14;-13;-12;-11;-10;-9;-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
06:45:00;1,1853;1,1854;1,1794;1,1712;1,1610;1,1488;1,1345;1,1182;1,1000;1,0797;1,0492;1,0335;1,0075;0,9797;0,9531;0,9244;0,8935;0,8639;0,8287;0,7914;0,7286;0,6679;0,6080;0,5496;0,4925;0,4370;0,3829;0,3302;0,2789;0,2290;0,1804;0,1342;0,0882;0,0426;0,0051
07:00:00;1,1917;1,1918;1,1857;1,1775;1,1673;1,1550;1,1406;1,1243;1,1059;1,0856;1,0549;1,0391;1,0130;0,9850;0,9583;0,9294;0,8983;0,8686;0,8332;0,7957;0,7325;0,6715;0,6113;0,5525;0,4952;0,4393;0,3849;0,3319;0,2804;0,2302;0,1814;0,1349;0,0886;0,0428;0,0052
07:15:00;1,1939;1,1940;1,1879;1,1798;1,1695;1,1571;1,1428;1,1264;1,1080;1,0876;1,0568;1,0410;1,0149;0,9868;0,9601;0,9311;0,9000;0,8702;0,8348;0,7972;0,7339;0,6728;0,6124;0,5536;0,4961;0,4402;0,3857;0,3326;0,2809;0,2306;0,1818;0,1352;0,0888;0,0429;0,0052
07:30:00;1,1915;1,1916;1,1855;1,1774;1,1671;1,1548;1,1405;1,1241;1,1057;1,0854;1,0547;1,0389;1,0128;0,9848;0,9581;0,9292;0,8982;0,8685;0,8331;0,7956;0,7324;0,6714;0,6112;0,5524;0,4951;0,4393;0,3849;0,3319;0,2803;0,2302;0,1814;0,1349;0,0886;0,0428;0,0052
07:45:00;1,1881;1,1882;1,1821;1,1740;1,1637;1,1514;1,1371;1,1208;1,1025;1,0823;1,0516;1,0359;1,0099;0,9820;0,9553;0,9265;0,8956;0,8660;0,8306;0,7933;0,7303;0,6695;0,6094;0,5508;0,4937;0,4380;0,3838;0,3309;0,2795;0,2295;0,1809;0,1345;0,0884;0,0427;0,0052
08:00:00;1,1825;1,1825;1,1765;1,1684;1,1582;1,1460;1,1318;1,1155;1,0973;1,0772;1,0467;1,0310;1,0051;0,9773;0,9508;0,9222;0,8914;0,8619;0,8267;0,7895;0,7268;0,6663;0,6065;0,5482;0,4914;0,4359;0,3819;0,3294;0,2782;0,2284;0,1800;0,1339;0,0879;0,0425;0,0051
08:15:00;1,1798;1,1799;1,1738;1,1657;1,1556;1,1434;1,1292;1,1130;1,0948;1,0747;1,0443;1,0287;1,0028;0,9751;0,9487;0,9201;0,8893;0,8599;0,8248;0,7877;0,7252;0,6648;0,6052;0,5470;0,4902;0,4349;0,3811;0,3286;0,2776;0,2279;0,1796;0,1336;0,0877;0,0424;0,0051
08:30:00;1,1806;1,1807;1,1747;1,1666;1,1564;1,1442;1,1300;1,1138;1,0956;1,0755;1,0450;1,0294;1,0036;0,9758;0,9494;0,9207;0,8900;0,8605;0,8254;0,7883;0,7257;0,6653;0,6056;0,5474;0,4906;0,4353;0,3813;0,3289;0,2778;0,2281;0,1797;0,1337;0,0878;0,0424;0,0051
08:45:00;1,1759;1,1760;1,1700;1,1619;1,1518;1,1397;1,1255;1,1094;1,0913;1,0712;1,0409;1,0253;0,9996;0,9719;0,9456;0,9171;0,8864;0,8571;0,8222;0,7851;0,7228;0,6626;0,6032;0,5452;0,4886;0,4335;0,3798;0,3275;0,2767;0,2271;0,1790;0,1331;0,0875;0,0422;0,0051
09:00:00;1,1761;1,1762;1,1702;1,1621;1,1520;1,1398;1,1257;1,1095;1,0914;1,0713;1,0410;1,0255;0,9997;0,9721;0,9457;0,9172;0,8865;0,8572;0,8223;0,7852;0,7229;0,6627;0,6033;0,5453;0,4887;0,4336;0,3799;0,3276;0,2767;0,2272;0,1790;0,1332;0,0875;0,0422;0,0051
09:15:00;1,1723;1,1724;1,1664;1,1583;1,1483;1,1361;1,1220;1,1059;1,0879;1,0679;1,0377;1,0222;0,9965;0,9689;0,9426;0,9142;0,8837;0,8544;0,8196;0,7827;0,7206;0,6606;0,6013;0,5435;0,4871;0,4322;0,3787;0,3265;0,2758;0,2264;0,1785;0,1327;0,0872;0,0421;0,0051
09:30:00;1,1633;1,1634;1,1575;1,1495;1,1395;1,1275;1,1135;1,0975;1,0796;1,0597;1,0297;1,0144;0,9889;0,9615;0,9355;0,9073;0,8770;0,8479;0,8134;0,7767;0,7151;0,6555;0,5967;0,5394;0,4834;0,4289;0,3758;0,3240;0,2737;0,2247;0,1771;0,1317;0,0865;0,0418;0,0051
09:45:00;1,1579;1,1580;1,1521;1,1442;1,1342;1,1223;1,1083;1,0924;1,0746;1,0548;1,0250;1,0097;0,9843;0,9571;0,9311;0,9030;0,8729;0,8440;0,8096;0,7731;0,7118;0,6525;0,5940;0,5369;0,4812;0,4269;0,3740;0,3225;0,2724;0,2237;0,1763;0,1311;0,0861;0,0416;0,0050
