Datum,Kapazität in kWh,Restkapazität in kWh,Einspeisung in kWh
2030-10-17 12:00:00,9250000.0,9241309.567657428,-8690.432342571372
2030-10-17 12:15:00,9250000.0,9241920.026086345,-8079.973913653856
2030-10-17 12:30:00,9250000.0,9242235.86958103,-7764.13041896934
2030-10-17 12:45:00,9250000.0,9242403.10985408,-7596.890145919373
2030-10-17 13:00:00,9250000.0,9242510.892444123,-7489.107555878305
2030-10-17 13:15:00,9250000.0,9242488.851990554,-7511.148009446168
2030-10-17 13:30:00,9250000.0,9242427.84618271,-7572.1538172909295
2030-10-17 13:45:00,9250000.0,9242430.253180627,-7569.746819373619
2030-10-17 14:00:00,9250000.0,9242325.001740469,-7674.998259531512
2030-10-17 14:15:00,9250000.0,9242230.85236357,-7769.147636429554
2030-10-17 14:30:00,9250000.0,9242066.960206356,-7933.039793643398
2030-10-17 14:45:00,9250000.0,9241899.381437331,-8100.618562668296
2030-10-17 15:00:00,9250000.0,9241448.73950514,-8551.260494859904
2030-10-17 15:15:00,9250000.0,9240969.58558394,-9030.414416060263
2030-10-17 15:30:00,9250000.0,9240558.94182802,-9441.058171979812
2030-10-17 15:45:00,9250000.0,9239939.161163444,-10060.83883655551
2030-10-17 16:00:00,9250000.0,9239120.761269083,-10879.23873091735
2030-10-17 16:15:00,9250000.0,9238296.403087854,-11703.59691214548
2030-10-17 16:30:00,9250000.0,9237381.508975431,-12618.491024568111
2030-10-17 16:45:00,9250000.0,9236354.608858824,-13645.391141176733
2030-10-17 17:00:00,9250000.0,9235132.950491903,-14867.049508096237
2030-10-17 17:15:00,9250000.0,9233979.254509153,-16020.745490847487
2030-10-17 17:30:00,9250000.0,9232883.53808978,-17116.461910220176
2030-10-17 17:45:00,9250000.0,9232040.335477203,-17959.66452279615
2030-10-17 18:00:00,9250000.0,9231681.769909084,-18318.230090915735
2030-10-17 18:15:00,9250000.0,9231684.556248475,-18315.44375152493
2030-10-17 18:30:00,9250000.0,9231759.444472346,-18240.555527653003
2030-10-17 18:45:00,9250000.0,9231840.284193909,-18159.715806090622
2030-10-17 19:00:00,9250000.0,9232094.143548226,-17905.8564517731
2030-10-17 19:15:00,9250000.0,9232633.131884525,-17366.868115475612
2030-10-17 19:30:00,9250000.0,9233066.711544745,-16933.28845525588
2030-10-17 19:45:00,9250000.0,9233534.309991539,-16465.69000846164
2030-10-17 20:00:00,9250000.0,9234135.466333311,-15864.533666688494
2030-10-17 20:15:00,9250000.0,9234590.088229278,-15409.911770721998
2030-10-17 20:30:00,9250000.0,9235097.730063565,-14902.269936434917
2030-10-17 20:45:00,9250000.0,9235631.665047714,-14368.334952284726
2030-10-17 21:00:00,9250000.0,9236104.499917513,-13895.500082487793
2030-10-17 21:15:00,9250000.0,9236644.616905792,-13355.383094209226
2030-10-17 21:30:00,9250000.0,9237116.411632659,-12883.58836734132
2030-10-17 21:45:00,9250000.0,9237464.21256124,-12535.787438758876
2030-10-17 22:00:00,9250000.0,9237671.410415156,-12328.589584844498
