Datum,Differenz,Speicher,Netz
2030-05-02 09:15:00,6578.493853778349,2000.0,6578.493853778349
2030-05-02 09:30:00,6246.309527464857,2000.0,6246.309527464857
2030-05-02 09:45:00,6020.1938397406175,2000.0,6020.1938397406175
2030-05-02 10:00:00,5465.410625683817,2000.0,5465.410625683817
2030-05-02 10:15:00,5213.838016946309,2000.0,5213.838016946309
2030-05-02 10:30:00,4711.2003617225455,2000.0,4711.2003617225455
2030-05-02 10:45:00,4390.918388396953,2000.0,4390.918388396953
2030-05-02 11:00:00,4080.168686510209,2000.0,4080.168686510209
2030-05-02 11:15:00,3991.318449395323,2000.0,3991.318449395323
2030-05-02 11:30:00,3893.6394204388525,2000.0,3893.6394204388525
2030-05-02 11:45:00,3420.628071516112,2000.0,3420.628071516112
2030-05-02 12:00:00,2655.22733602026,2000.0,2655.22733602026
2030-05-02 12:15:00,2198.6825300629025,2000.0,2198.6825300629025
2030-05-02 12:30:00,1686.1792660803658,2000.0,1686.1792660803658
2030-05-02 12:45:00,1253.748050743714,2000.0,1253.748050743714
2030-05-02 13:00:00,749.369102110737,2000.0,749.369102110737
2030-05-02 13:15:00,372.220868926579,2000.0,372.220868926579
2030-05-02 13:30:00,10.490425841751858,2000.0,10.490425841751858
2030-05-02 13:45:00,-134.66986254922813,1865.3301374507719,0.0
2030-05-02 14:00:00,-321.3809386573266,1543.9491987934452,0.0
2030-05-02 14:15:00,-397.13363849928646,1146.8155602941588,0.0
2030-05-02 14:30:00,-573.3719131115759,573.4436471825829,0.0
2030-05-02 14:45:00,-865.3285717015024,0.0,-291.88492451891943
2030-05-02 15:00:00,-793.4557735826311,0.0,-793.4557735826311
2030-05-02 15:15:00,-479.46876974724,0.0,-479.46876974724
2030-05-02 15:30:00,-251.58853970206837,0.0,-251.58853970206837
2030-05-02 15:45:00,158.20238322791556,158.20238322791556,0.0
2030-05-02 16:00:00,255.30872805783292,413.5111112857485,0.0
2030-05-02 16:15:00,645.5249151578828,1059.0360264436313,0.0
2030-05-02 16:30:00,1075.547178630186,2000.0,134.58320507381723
2030-05-02 16:45:00,1850.7378499229526,2000.0,1850.7378499229526
2030-05-02 17:00:00,2602.8142885096095,2000.0,2602.8142885096095
2030-05-02 17:15:00,3440.02155444695,2000.0,3440.02155444695
2030-05-02 17:30:00,4321.510358547552,2000.0,4321.510358547552
2030-05-02 17:45:00,5268.092652907544,2000.0,5268.092652907544
2030-05-02 18:00:00,6348.1371310769755,2000.0,6348.1371310769755
2030-05-02 18:15:00,7232.819485481035,2000.0,7232.819485481035
2030-05-02 18:30:00,8244.404836242778,2000.0,8244.404836242778
2030-05-02 18:45:00,9426.248232413873,2000.0,9426.248232413873
2030-05-02 19:00:00,10291.125976676705,2000.0,10291.125976676705
2030-05-02 19:15:00,11042.355211274182,2000.0,11042.355211274182
2030-05-02 19:30:00,11736.963660989546,2000.0,11736.963660989546
2030-05-02 19:45:00,12473.481066385248,2000.0,12473.481066385248
2030-05-02 20:00:00,13129.62639824449,2000.0,13129.62639824449
2030-05-02 20:15:00,13525.409320271658,2000.0,13525.409320271658
2030-05-02 20:30:00,13689.447465191224,2000.0,13689.447465191224
2030-05-02 20:45:00,13688.582903737924,2000.0,13688.582903737924
2030-05-02 21:00:00,13779.785748620796,2000.0,13779.785748620796
2030-05-02 21:15:00,13511.546998520333,2000.0,13511.546998520333
2030-05-02 21:30:00,13237.461147269401,2000.0,13237.461147269401
2030-05-02 21:45:00,12900.64797129933,2000.0,12900.64797129933
2030-05-02 22:00:00,12792.763683815552,2000.0,12792.763683815552
2030-05-02 22:15:00,12569.99268672482,2000.0,12569.99268672482
2030-05-02 22:30:00,12190.073701480975,2000.0,12190.073701480975
2030-05-02 22:45:00,11843.541561477366,2000.0,11843.541561477366
2030-05-02 23:00:00,11469.43555215573,2000.0,11469.43555215573
2030-05-02 23:15:00,11156.350127584967,2000.0,11156.350127584967
2030-05-02 23:30:00,10897.90907843741,2000.0,10897.90907843741
2030-05-02 23:45:00,10647.20687352728,2000.0,10647.20687352728
2030-05-03 00:00:00,10488.809772323188,2000.0,10488.809772323188
2030-05-03 00:15:00,10354.701431620448,2000.0,10354.701431620448
2030-05-03 00:30:00,10293.247224084138,2000.0,10293.247224084138
2030-05-03 00:45:00,10194.136001245344,2000.0,10194.136001245344
2030-05-03 01:00:00,10065.204918217798,2000.0,10065.204918217798
2030-05-03 01:15:00,9903.959338479344,2000.0,9903.959338479344
2030-05-03 01:30:00,9818.030704251425,2000.0,9818.030704251425
2030-05-03 01:45:00,9666.566768094986,2000.0,9666.566768094986
2030-05-03 02:00:00,9561.353433770075,2000.0,9561.353433770075
2030-05-03 02:15:00,9589.71740031187,2000.0,9589.71740031187
2030-05-03 02:30:00,9717.745575560324,2000.0,9717.745575560324
2030-05-03 02:45:00,9891.33463927418,2000.0,9891.33463927418
2030-05-03 03:00:00,9906.901932046494,2000.0,9906.901932046494
2030-05-03 03:15:00,10062.966464048459,2000.0,10062.966464048459
2030-05-03 03:30:00,10168.262982724686,2000.0,10168.262982724686
2030-05-03 03:45:00,10209.58189446409,2000.0,10209.58189446409
2030-05-03 04:00:00,10382.801216246075,2000.0,10382.801216246075
2030-05-03 04:15:00,10591.251629830425,2000.0,10591.251629830425
2030-05-03 04:30:00,10771.291606635816,2000.0,10771.291606635816
2030-05-03 04:45:00,11052.769463187662,2000.0,11052.769463187662
2030-05-03 05:00:00,11635.983702941934,2000.0,11635.983702941934
2030-05-03 05:15:00,11944.23325577701,2000.0,11944.23325577701
2030-05-03 05:30:00,12373.368605854683,2000.0,12373.368605854683
2030-05-03 05:45:00,12656.247515154277,2000.0,12656.247515154277
2030-05-03 06:00:00,13450.034784237756,2000.0,13450.034784237756
2030-05-03 06:15:00,13691.811394783697,2000.0,13691.811394783697
2030-05-03 06:30:00,13794.53357029469,2000.0,13794.53357029469
2030-05-03 06:45:00,13660.072947257533,2000.0,13660.072947257533
2030-05-03 07:00:00,13582.314945526556,2000.0,13582.314945526556
2030-05-03 07:15:00,13245.569603391652,2000.0,13245.569603391652
2030-05-03 07:30:00,12949.629152686062,2000.0,12949.629152686062
2030-05-03 07:45:00,12617.585236355797,2000.0,12617.585236355797
2030-05-03 08:00:00,12255.89140410746,2000.0,12255.89140410746
2030-05-03 08:15:00,11455.970769610658,2000.0,11455.970769610658
2030-05-03 08:30:00,10417.686618004811,2000.0,10417.686618004811
2030-05-03 08:45:00,9228.723542605068,2000.0,9228.723542605068
2030-05-03 09:00:00,7901.093088124278,2000.0,7901.093088124278
2030-05-03 09:15:00,6896.7088337535115,2000.0,6896.7088337535115
2030-05-03 09:30:00,6091.510080438979,2000.0,6091.510080438979
2030-05-03 09:45:00,5246.723512087394,2000.0,5246.723512087394
2030-05-03 10:00:00,4439.905487339514,2000.0,4439.905487339514
2030-05-03 10:15:00,3650.4405221108536,2000.0,3650.4405221108536
2030-05-03 10:30:00,2949.7356227881646,2000.0,2949.7356227881646
2030-05-03 10:45:00,2244.1736183637986,2000.0,2244.1736183637986
2030-05-03 11:00:00,1676.6521591784767,2000.0,1676.6521591784767
2030-05-03 11:15:00,1041.332672189339,2000.0,1041.332672189339
2030-05-03 11:30:00,457.6653729337995,2000.0,457.6653729337995
2030-05-03 11:45:00,-25.365309662854997,1974.634690337145,0.0
2030-05-03 12:00:00,-656.809896298575,1317.82479403857,0.0
2030-05-03 12:15:00,-1320.1488396622663,0.0,-2.3240456236962928
2030-05-03 12:30:00,-1785.1062188899195,0.0,-1785.1062188899195
2030-05-03 12:45:00,-2289.9025671448944,0.0,-2289.9025671448944
2030-05-03 13:00:00,-2540.658207293538,0.0,-2540.658207293538
2030-05-03 13:15:00,-2956.155388801515,0.0,-2956.155388801515
2030-05-03 13:30:00,-3340.569987900988,0.0,-3340.569987900988
2030-05-03 13:45:00,-5244.925169227237,0.0,-5244.925169227237
2030-05-03 14:00:00,-3572.092876089162,0.0,-3572.092876089162
2030-05-03 14:15:00,-3425.066135534762,0.0,-3425.066135534762
2030-05-03 14:30:00,-3389.203832867959,0.0,-3389.203832867959
2030-05-03 14:45:00,-3168.4786513039253,0.0,-3168.4786513039253
2030-05-03 15:00:00,-2686.7681294713802,0.0,-2686.7681294713802
2030-05-03 15:15:00,-2178.836764549749,0.0,-2178.836764549749
2030-05-03 15:30:00,-1598.5558796990917,0.0,-1598.5558796990917
2030-05-03 15:45:00,-1014.2602896146745,0.0,-1014.2602896146745
2030-05-03 16:00:00,-253.8679957057575,0.0,-253.8679957057575
2030-05-03 16:15:00,598.0381526761594,598.0381526761594,0.0
2030-05-03 16:30:00,1537.5109461509455,2000.0,135.5490988271049
2030-05-03 16:45:00,2510.0124774887463,2000.0,2510.0124774887463
2030-05-03 17:00:00,3717.7798568672115,2000.0,3717.7798568672115
2030-05-03 17:15:00,5000.6994389898355,2000.0,5000.6994389898355
2030-05-03 17:30:00,6341.009695233033,2000.0,6341.009695233033
2030-05-03 17:45:00,7711.477998309838,2000.0,7711.477998309838
2030-05-03 18:00:00,9179.747879170984,2000.0,9179.747879170984
2030-05-03 18:15:00,10530.307784751389,2000.0,10530.307784751389
2030-05-03 18:30:00,11804.460368451433,2000.0,11804.460368451433
2030-05-03 18:45:00,13061.63872173501,2000.0,13061.63872173501
2030-05-03 19:00:00,14290.142737012746,2000.0,14290.142737012746
2030-05-03 19:15:00,15040.312279600857,2000.0,15040.312279600857
2030-05-03 19:30:00,15663.78453817359,2000.0,15663.78453817359
2030-05-03 19:45:00,16114.843985393058,2000.0,16114.843985393058
2030-05-03 20:00:00,16531.06037353946,2000.0,16531.06037353946
2030-05-03 20:15:00,16512.4952439527,2000.0,16512.4952439527
2030-05-03 20:30:00,16328.869394252448,2000.0,16328.869394252448
2030-05-03 20:45:00,15969.945088531067,2000.0,15969.945088531065
2030-05-03 21:00:00,15706.396998791262,2000.0,15706.396998791264
2030-05-03 21:15:00,15184.902148792462,2000.0,15184.902148792462
2030-05-03 21:30:00,14529.151119502001,2000.0,14529.151119502
2030-05-03 21:45:00,13935.793792689958,2000.0,13935.793792689958
2030-05-03 22:00:00,13426.828881442012,2000.0,13426.828881442012
2030-05-03 22:15:00,12984.164944561593,2000.0,12984.164944561593
2030-05-03 22:30:00,12271.762402521397,2000.0,12271.762402521397
2030-05-03 22:45:00,11680.913138103817,2000.0,11680.913138103817
2030-05-03 23:00:00,11170.637912706363,2000.0,11170.637912706363
2030-05-03 23:15:00,10738.930469064586,2000.0,10738.930469064586
2030-05-03 23:30:00,10399.436247069912,2000.0,10399.436247069912
2030-05-03 23:45:00,10082.907931436843,2000.0,10082.907931436843
2030-05-04 00:00:00,9750.173392816641,2000.0,9750.173392816641
2030-05-04 00:15:00,9441.95807379685,2000.0,9441.95807379685
2030-05-04 00:30:00,9181.477025170967,2000.0,9181.477025170967
2030-05-04 00:45:00,8863.148429779876,2000.0,8863.148429779876
2030-05-04 01:00:00,8722.077341246695,2000.0,8722.077341246695
2030-05-04 01:15:00,8678.90914947604,2000.0,8678.90914947604
2030-05-04 01:30:00,8562.353388710284,2000.0,8562.353388710284
2030-05-04 01:45:00,8497.056844455985,2000.0,8497.056844455985
2030-05-04 02:00:00,8416.41185453362,2000.0,8416.41185453362
2030-05-04 02:15:00,8335.59515874879,2000.0,8335.59515874879
2030-05-04 02:30:00,8333.226955059179,2000.0,8333.226955059179
2030-05-04 02:45:00,8482.94922255255,2000.0,8482.94922255255
2030-05-04 03:00:00,8521.067633014616,2000.0,8521.067633014616
2030-05-04 03:15:00,8490.241053229474,2000.0,8490.241053229474
2030-05-04 03:30:00,8605.928034294871,2000.0,8605.928034294871
2030-05-04 03:45:00,8761.33816853696,2000.0,8761.33816853696
2030-05-04 04:00:00,8971.588066655011,2000.0,8971.588066655011
2030-05-04 04:15:00,9116.814902736667,2000.0,9116.814902736667
2030-05-04 04:30:00,9348.660079773246,2000.0,9348.660079773246
2030-05-04 04:45:00,9613.218840413898,2000.0,9613.218840413898
2030-05-04 05:00:00,10172.84520508647,2000.0,10172.84520508647
2030-05-04 05:15:00,10388.043681247054,2000.0,10388.043681247054
2030-05-04 05:30:00,10640.387692822704,2000.0,10640.387692822704
2030-05-04 05:45:00,11100.119741867375,2000.0,11100.119741867375
2030-05-04 06:00:00,11749.367424849675,2000.0,11749.367424849675
2030-05-04 06:15:00,12049.071686211584,2000.0,12049.071686211584
2030-05-04 06:30:00,11929.588676085024,2000.0,11929.588676085024
2030-05-04 06:45:00,11742.954803260654,2000.0,11742.954803260654
2030-05-04 07:00:00,11376.635336744823,2000.0,11376.635336744823
2030-05-04 07:15:00,10883.554142844097,2000.0,10883.554142844097
2030-05-04 07:30:00,10390.242753008664,2000.0,10390.242753008664
2030-05-04 07:45:00,9913.44545325754,2000.0,9913.44545325754
2030-05-04 08:00:00,9528.521379248396,2000.0,9528.521379248396
2030-05-04 08:15:00,8947.07779059832,2000.0,8947.07779059832
2030-05-04 08:30:00,7988.206199293283,2000.0,7988.206199293283
2030-05-04 08:45:00,6809.68194348671,2000.0,6809.68194348671
2030-05-04 09:00:00,5573.265218374074,2000.0,5573.265218374074
2030-05-04 09:15:00,4339.635813210934,2000.0,4339.635813210934
2030-05-04 09:30:00,3328.09922908475,2000.0,3328.09922908475
2030-05-04 09:45:00,2351.7345182774334,2000.0,2351.7345182774334
2030-05-04 10:00:00,1166.1063565108598,2000.0,1166.1063565108598
2030-05-04 10:15:00,117.43284254429818,2000.0,117.43284254429818
2030-05-04 10:30:00,-899.8774086066442,1100.1225913933558,0.0
2030-05-04 10:45:00,-1633.854732599404,0.0,-533.7321412060483
2030-05-04 11:00:00,-2348.173466401666,0.0,-2348.173466401666
2030-05-04 11:15:00,-3152.5420815595644,0.0,-3152.5420815595644
2030-05-04 11:30:00,-3608.906840734726,0.0,-3608.906840734726
2030-05-04 11:45:00,-4174.461173782216,0.0,-4174.461173782216
2030-05-04 12:00:00,-4908.9246957331925,0.0,-4908.9246957331925
2030-05-04 12:15:00,-5240.611367321202,0.0,-5240.611367321202
2030-05-04 12:30:00,-5483.953746800926,0.0,-5483.953746800926
2030-05-04 12:45:00,-5399.6490545714405,0.0,-5399.6490545714405
2030-05-04 13:00:00,-5595.878470749838,0.0,-5595.878470749838
2030-05-04 13:15:00,-5568.395953982705,0.0,-5568.395953982705
2030-05-04 13:30:00,-5744.085056727818,0.0,-5744.085056727818
2030-05-04 13:45:00,-5838.327148749191,0.0,-5838.327148749191
2030-05-04 14:00:00,-5709.460621239683,0.0,-5709.460621239683
2030-05-04 14:15:00,-5290.787545500512,0.0,-5290.787545500512
2030-05-04 14:30:00,-4909.5171767088905,0.0,-4909.5171767088905
2030-05-04 14:45:00,-4623.887086640738,0.0,-4623.887086640738
2030-05-04 15:00:00,-4043.954456963682,0.0,-4043.954456963682
2030-05-04 15:15:00,-3447.1682807745383,0.0,-3447.1682807745383
2030-05-04 15:30:00,-2913.0363841417457,0.0,-2913.0363841417457
