Uhrzeit,Relative Bedarf,Normierter Bedarf (Prozent),Strombedarf (kWh),
21:00:00,0.49214088458862,0.01749201493122779,274274.79412165174,
21:15:00,0.472481822056566,0.016793278804819445,263318.6116595689,
21:30:00,0.443648530342888,0.01576846581942058,247249.54404851468,
21:45:00,0.422678863642031,0.01502314728458503,235562.94942229326,
22:00:00,0.403675103194379,0.014347702362390302,224971.97304227995,
22:15:00,0.380739530240317,0.013532510214913933,212189.7601698505,
22:30:00,0.360425165623862,0.012810482884292004,200868.37162569864,
22:45:00,0.342076707260612,0.012158329166310896,190642.60132775488,
23:00:00,0.322946262410622,0.01147838153863763,179981.02252583805,
23:15:00,0.35619277,0.01266005212398372,198509.61730406474,
23:30:00,0.389439277,0.013841722688381727,217038.21175382548,
23:45:00,0.422685785,0.015023393288322433,235566.80676089576,
