,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh
4485,2030-02-16 17:15:00,11788.321505644955,0.0,11788.321505644955
4486,2030-02-16 17:30:00,11900.845413909863,0.0,11900.845413909863
4487,2030-02-16 17:45:00,12194.446653309367,0.0,12194.446653309367
4488,2030-02-16 18:00:00,12572.223738832907,0.0,12572.223738832907
4489,2030-02-16 18:15:00,13002.116233584367,0.0,13002.116233584367
4490,2030-02-16 18:30:00,13479.901567377394,0.0,13479.901567377394
4491,2030-02-16 18:45:00,13788.539087477548,0.0,13788.539087477548
4492,2030-02-16 19:00:00,14270.429663492556,0.0,14270.429663492556
4493,2030-02-16 19:15:00,14542.328316637493,0.0,14542.328316637493
4494,2030-02-16 19:30:00,14795.385591391569,0.0,14795.385591391569
4495,2030-02-16 19:45:00,15133.48404341608,0.0,15133.48404341608
4496,2030-02-16 20:00:00,15338.809641814794,0.0,15338.809641814794
4497,2030-02-16 20:15:00,15616.513693183933,0.0,15616.513693183933
4498,2030-02-16 20:30:00,15943.952798862114,0.0,15943.952798862114
4499,2030-02-16 20:45:00,16182.07875352097,0.0,16182.07875352097
4500,2030-02-16 21:00:00,16488.693994978476,0.0,16488.693994978476
4501,2030-02-16 21:15:00,16841.786240737805,0.0,16841.786240737805
4502,2030-02-16 21:30:00,16993.311335418322,0.0,16993.311335418322
4503,2030-02-16 21:45:00,16956.20856157496,0.0,16956.20856157496
4504,2030-02-16 22:00:00,17149.14441652277,0.0,17149.14441652277
4505,2030-02-16 22:15:00,17301.203929756135,0.0,17301.203929756135
4506,2030-02-16 22:30:00,17546.450639629416,0.0,17546.450639629416
4507,2030-02-16 22:45:00,17681.668372287804,0.0,17681.668372287804
4508,2030-02-16 23:00:00,17902.26074527044,0.0,17902.26074527044
4509,2030-02-16 23:15:00,18058.694701437093,0.0,18058.694701437093
4510,2030-02-16 23:30:00,18203.862867354503,19.584438520570984,18184.27842883393
4511,2030-02-16 23:45:00,18125.4989527847,249.48231212026076,17876.01664066444
4512,2030-02-17 00:00:00,18243.697298788622,794.1798444956767,17449.517454292945
4513,2030-02-17 00:15:00,18284.9838302547,1065.9589230519596,17219.02490720274
4514,2030-02-17 00:30:00,18296.637843207245,1236.6703883476657,17059.96745485958
4515,2030-02-17 00:45:00,18239.447287831234,1452.9038163137702,16786.543471517463
4516,2030-02-17 01:00:00,18420.087243154296,1810.547971921369,16609.539271232927
4517,2030-02-17 01:15:00,18617.1232050085,2153.973093454235,16463.150111554263
4518,2030-02-17 01:30:00,18624.683531518745,2288.9201406463944,16335.763390872351
4519,2030-02-17 01:45:00,18459.910582092667,2202.2683293180653,16257.642252774602
4520,2030-02-17 02:00:00,18325.889680494853,2217.8036605650395,16108.086019929813
4521,2030-02-17 02:15:00,18504.831332520167,2401.6718708487733,16103.159461671394
4522,2030-02-17 02:30:00,18754.281840073912,2668.7172293254334,16085.564610748479
4523,2030-02-17 02:45:00,19080.3590975814,2994.4425898144655,16085.916507766935
4524,2030-02-17 03:00:00,19221.122938702156,3139.781092175175,16081.34184652698
4525,2030-02-17 03:15:00,19186.58034739738,3020.431319421943,16166.149027975436
4526,2030-02-17 03:30:00,18938.587028541195,2716.838271649345,16221.74875689185
4527,2030-02-17 03:45:00,18953.892518663684,2641.7062280280406,16312.186290635644
4528,2030-02-17 04:00:00,18834.669867635344,2321.550379459997,16513.119488175347
4529,2030-02-17 04:15:00,18616.105471024643,1897.4781240696357,16718.627346955007
4530,2030-02-17 04:30:00,18619.095885722374,1684.7556664524163,16934.340219269958
4531,2030-02-17 04:45:00,18562.380555078224,1496.0789538863937,17066.30160119183
4532,2030-02-17 05:00:00,18763.57723493211,1305.262355177707,17458.3148797544
4533,2030-02-17 05:15:00,18982.78443516814,1287.9947590097436,17694.789676158398
4534,2030-02-17 05:30:00,18970.125196211222,910.7702089300001,18059.354987281222
4535,2030-02-17 05:45:00,19164.509403388878,608.6277230629603,18555.881680325918
4536,2030-02-17 06:00:00,19251.854973763257,-97.55448318618437,19349.40945694944
4537,2030-02-17 06:15:00,19198.367670182768,-700.3530325801148,19898.720702762883
4538,2030-02-17 06:30:00,19423.46890845246,-1122.7423082737369,20546.2112167262
4539,2030-02-17 06:45:00,19409.534816304084,-1659.9472668696471,21069.48208317373
4540,2030-02-17 07:00:00,19487.70404535966,-2198.653511171513,21686.357556531173
4541,2030-02-17 07:15:00,19636.483102893817,-2306.407380093475,21942.89048298729
4542,2030-02-17 07:30:00,19688.36486741468,-2500.501631474981,22188.86649888966
4543,2030-02-17 07:45:00,19964.257130305803,-2530.0559806056845,22494.313110911487
4544,2030-02-17 08:00:00,20565.112574685743,-2381.7401019631507,22946.852676648894
4545,2030-02-17 08:15:00,21139.467449467556,-2062.510565563618,23201.978015031174
4546,2030-02-17 08:30:00,21796.360037315535,-1653.3534787103017,23449.713516025837
4547,2030-02-17 08:45:00,22364.29103998059,-1086.83006411908,23451.12110409967
4548,2030-02-17 09:00:00,22951.956374266418,-443.5650009168421,23395.52137518326
4549,2030-02-17 09:15:00,23752.693402514513,249.49153968301107,23503.2018628315
4550,2030-02-17 09:30:00,24585.797401525837,1054.091880199212,23531.705521326625
4551,2030-02-17 09:45:00,25593.71970621566,1956.7969763699912,23636.922729845668
4552,2030-02-17 10:00:00,26384.15828815377,2590.6413850941462,23793.516903059623
4553,2030-02-17 10:15:00,27214.931451136697,3370.389480400623,23844.541970736074
4554,2030-02-17 10:30:00,27905.382815081797,3915.5073757224345,23989.875439359363
4555,2030-02-17 10:45:00,28565.83028049759,4524.225979424853,24041.604301072737
4556,2030-02-17 11:00:00,29421.28942570399,5247.723742709379,24173.565682994613
4557,2030-02-17 11:15:00,29952.385572952233,5609.557424079161,24342.82814887307
4558,2030-02-17 11:30:00,29981.707853420783,5512.1967779027145,24469.51107551807
4559,2030-02-17 11:45:00,30125.76325217742,5873.020740029682,24252.74251214774
4560,2030-02-17 12:00:00,30300.694899441824,6229.179351800121,24071.515547641702
4561,2030-02-17 12:15:00,30361.369540169348,6403.164832471226,23958.20470769812
4562,2030-02-17 12:30:00,30417.89458439548,6413.239470260865,24004.655114134614
4563,2030-02-17 12:45:00,30473.69907915094,0.0,30473.69907915094
4564,2030-02-17 13:00:00,30480.063980493993,0.0,30480.063980493993
4565,2030-02-17 13:15:00,30354.974944830687,0.0,30354.974944830687
4566,2030-02-17 13:30:00,30071.457694069602,0.0,30071.457694069602
4567,2030-02-17 13:45:00,29283.210232748468,0.0,29283.210232748468
4568,2030-02-17 14:00:00,28888.707010558108,0.0,28888.707010558108
4569,2030-02-17 14:15:00,28494.063776866853,0.0,28494.063776866853
4570,2030-02-17 14:30:00,28223.50202972907,0.0,28223.50202972907
4571,2030-02-17 14:45:00,28050.676189669048,0.0,28050.676189669048
4572,2030-02-17 15:00:00,27863.1579278777,0.0,27863.1579278777
4573,2030-02-17 15:15:00,27485.085712424585,0.0,27485.085712424585
4574,2030-02-17 15:30:00,26935.822791004182,0.0,26935.822791004182
4575,2030-02-17 15:45:00,26561.62989451144,0.0,26561.62989451144
4576,2030-02-17 16:00:00,26214.390140268173,0.0,26214.390140268173
4577,2030-02-17 16:15:00,25509.619031959886,0.0,25509.619031959886
4578,2030-02-17 16:30:00,24979.3449227327,0.0,24979.3449227327
4579,2030-02-17 16:45:00,24691.974823925655,0.0,24691.974823925655
4580,2030-02-17 17:00:00,24515.206156092292,0.0,24515.206156092292
4581,2030-02-17 17:15:00,24401.927699166605,0.0,24401.927699166605
4582,2030-02-17 17:30:00,23977.2194730983,0.0,23977.2194730983
4583,2030-02-17 17:45:00,23696.240812450975,0.0,23696.240812450975
4584,2030-02-17 18:00:00,23570.488235103334,-201.56294983032785,23772.05118493366
4585,2030-02-17 18:15:00,23502.510827110946,-150.59916558380428,23653.10999269475
4586,2030-02-17 18:30:00,23401.928744754172,-171.30062475053637,23573.22936950471
4587,2030-02-17 18:45:00,23198.384954147063,-243.2349304542331,23441.619884601296
4588,2030-02-17 19:00:00,22956.902966278045,-119.4478131635151,23076.35077944156
4589,2030-02-17 19:15:00,22953.794245716526,109.34360143900267,22844.450644277524
4590,2030-02-17 19:30:00,22881.364731456233,263.8876640843373,22617.477067371896
4591,2030-02-17 19:45:00,22749.843262573304,423.73692648489305,22326.10633608841
4592,2030-02-17 20:00:00,22670.669808151706,815.7535797790006,21854.916228372706
4593,2030-02-17 20:15:00,22474.059297680502,0.0,22474.059297680502
4594,2030-02-17 20:30:00,22192.36153494963,0.0,22192.36153494963
4595,2030-02-17 20:45:00,22131.232617008056,0.0,22131.232617008056
4596,2030-02-17 21:00:00,22407.68264756486,0.0,22407.68264756486
4597,2030-02-17 21:15:00,22240.855976930496,0.0,22240.855976930496
4598,2030-02-17 21:30:00,21835.55299005665,0.0,21835.55299005665
4599,2030-02-17 21:45:00,21219.351483610226,0.0,21219.351483610226
4600,2030-02-17 22:00:00,20723.8658342643,0.0,20723.8658342643
4601,2030-02-17 22:15:00,20597.662631347084,0.0,20597.662631347084
4602,2030-02-17 22:30:00,20400.696202646166,0.0,20400.696202646166
4603,2030-02-17 22:45:00,20321.709586603283,0.0,20321.709586603283
4604,2030-02-17 23:00:00,20236.097336262883,0.0,20236.097336262883
4605,2030-02-17 23:15:00,19868.836596221292,0.0,19868.836596221292
4606,2030-02-17 23:30:00,19394.164543257353,0.0,19394.164543257353
4607,2030-02-17 23:45:00,19135.91387273813,0.0,19135.91387273813
4608,2030-02-18 00:00:00,19282.210358259414,0.0,19282.210358259414
4609,2030-02-18 00:15:00,19135.00537636195,0.0,19135.00537636195
4610,2030-02-18 00:30:00,18853.369241246495,0.0,18853.369241246495
4611,2030-02-18 00:45:00,18465.55035408554,0.0,18465.55035408554
4612,2030-02-18 01:00:00,18162.353387133644,0.0,18162.353387133644
4613,2030-02-18 01:15:00,17932.221343448688,0.0,17932.221343448688
4614,2030-02-18 01:30:00,17764.5396706345,0.0,17764.5396706345
4615,2030-02-18 01:45:00,17457.0978033774,0.0,17457.0978033774
4616,2030-02-18 02:00:00,17289.674607298984,0.0,17289.674607298984
4617,2030-02-18 02:15:00,17071.531755553515,0.0,17071.531755553515
4618,2030-02-18 02:30:00,16874.85597161418,0.0,16874.85597161418
4619,2030-02-18 02:45:00,16679.673708236787,0.0,16679.673708236787
4620,2030-02-18 03:00:00,16577.73585649649,0.0,16577.73585649649
4621,2030-02-18 03:15:00,16532.891915780554,0.0,16532.891915780554
4622,2030-02-18 03:30:00,16493.5348240955,0.0,16493.5348240955
4623,2030-02-18 03:45:00,16314.28484714989,0.0,16314.28484714989
4624,2030-02-18 04:00:00,16073.661735353724,0.0,16073.661735353724
4625,2030-02-18 04:15:00,16234.273877811122,0.0,16234.273877811122
4626,2030-02-18 04:30:00,16192.295795567272,0.0,16192.295795567272
4627,2030-02-18 04:45:00,15722.732153858655,0.0,15722.732153858655
4628,2030-02-18 05:00:00,15302.563963226949,-270.6385886462085,15573.202551873157
4629,2030-02-18 05:15:00,15045.96753755503,-566.9993774039194,15612.96691495895
4630,2030-02-18 05:30:00,14880.05607412737,-726.2247974808706,15606.28087160824
4631,2030-02-18 05:45:00,14567.037996098887,-1140.9411138438118,15707.979109942698
4632,2030-02-18 06:00:00,14481.652153848365,-1337.1745169087044,15818.82667075707
4633,2030-02-18 06:15:00,14219.6465317437,-1721.640301436868,15941.286833180568
4634,2030-02-18 06:30:00,14130.592183168825,-1983.476086074781,16114.068269243606
4635,2030-02-18 06:45:00,14062.815072706304,-2297.581109458126,16360.39618216443
4636,2030-02-18 07:00:00,14113.655911025153,-2578.931056563937,16692.58696758909
4637,2030-02-18 07:15:00,14140.59499827566,-2748.3505056131744,16888.945503888834
4638,2030-02-18 07:30:00,14062.672871088924,-2928.322768152824,16990.995639241748
4639,2030-02-18 07:45:00,14286.039424334185,-3052.982366162845,17339.02179049703
4640,2030-02-18 08:00:00,14601.628462774319,-3245.5326223765333,17847.161085150852
4641,2030-02-18 08:15:00,15133.357316672005,-3046.346450921963,18179.70376759397
4642,2030-02-18 08:30:00,15984.52762415438,-2431.299042825125,18415.826666979505
4643,2030-02-18 08:45:00,16989.403583357747,-1663.9535710811251,18653.357154438872
4644,2030-02-18 09:00:00,18336.2411146578,-822.440158287227,19158.68127294503
4645,2030-02-18 09:15:00,19482.204010124304,46.931680671030335,19435.272329453273
4646,2030-02-18 09:30:00,20667.075926443216,1061.1335430376603,19605.942383405556
4647,2030-02-18 09:45:00,21957.66288198651,2209.554103123788,19748.108778862723
4648,2030-02-18 10:00:00,23228.884443525512,3357.9636052208334,19870.92083830468
4649,2030-02-18 10:15:00,24372.440552563028,4416.360635791436,19956.079916771592
4650,2030-02-18 10:30:00,25336.133395302644,5296.30198813797,20039.831407164675
4651,2030-02-18 10:45:00,26378.45840873332,6284.786757744521,20093.6716509888
4652,2030-02-18 11:00:00,27504.022568436518,7265.36934584289,20238.653222593628
4653,2030-02-18 11:15:00,28551.129199795716,8146.028687471298,20405.100512324418
4654,2030-02-18 11:30:00,29434.085551543685,0.0,29434.085551543685
4655,2030-02-18 11:45:00,30254.68556666848,0.0,30254.68556666848
4656,2030-02-18 12:00:00,30830.74623310718,0.0,30830.74623310718
4657,2030-02-18 12:15:00,31418.86261255063,0.0,31418.86261255063
4658,2030-02-18 12:30:00,31742.416551716902,0.0,31742.416551716902
4659,2030-02-18 12:45:00,31951.98705030894,0.0,31951.98705030894
4660,2030-02-18 13:00:00,31941.088310260966,0.0,31941.088310260966
4661,2030-02-18 13:15:00,31687.091862058987,0.0,31687.091862058987
4662,2030-02-18 13:30:00,31501.620692118442,0.0,31501.620692118442
4663,2030-02-18 13:45:00,31029.57211201584,0.0,31029.57211201584
4664,2030-02-18 14:00:00,30543.369885369175,0.0,30543.369885369175
4665,2030-02-18 14:15:00,30031.833473654762,0.0,30031.833473654762
4666,2030-02-18 14:30:00,29189.566888039106,0.0,29189.566888039106
4667,2030-02-18 14:45:00,28400.005734548122,0.0,28400.005734548122
4668,2030-02-18 15:00:00,27450.327002575897,0.0,27450.327002575897
4669,2030-02-18 15:15:00,26485.5775239398,0.0,26485.5775239398
4670,2030-02-18 15:30:00,25566.80692781184,0.0,25566.80692781184
4671,2030-02-18 15:45:00,24579.451734505845,0.0,24579.451734505845
4672,2030-02-18 16:00:00,23552.895279398013,0.0,23552.895279398013
4673,2030-02-18 16:15:00,22782.560821247775,0.0,22782.560821247775
4674,2030-02-18 16:30:00,21895.625706276813,0.0,21895.625706276813
4675,2030-02-18 16:45:00,21169.73662944817,0.0,21169.73662944817
4676,2030-02-18 17:00:00,20519.51285759184,0.0,20519.51285759184
4677,2030-02-18 17:15:00,20153.057296948697,0.0,20153.057296948697
4678,2030-02-18 17:30:00,19913.82004320104,-29.943477924509352,19943.76352112555
4679,2030-02-18 17:45:00,19658.929843651058,-583.5942461456107,20242.52408979667
4680,2030-02-18 18:00:00,19314.565872808766,-1329.120818030391,20643.686690839157
4681,2030-02-18 18:15:00,18918.030730189465,-1780.9037925476478,20698.934522737112
4682,2030-02-18 18:30:00,18964.18756830623,-1584.838824567636,20549.026392873868
4683,2030-02-18 18:45:00,19014.534469485225,-1407.1052027067308,20421.639672191955
4684,2030-02-18 19:00:00,18877.468515909426,-1324.9393137829938,20202.40782969242
4685,2030-02-18 19:15:00,18705.075424271672,-1329.4775276161272,20034.5529518878
4686,2030-02-18 19:30:00,18509.12023329667,-1293.180686408632,19802.300919705303
4687,2030-02-18 19:45:00,18155.619895219446,-1367.9785858668693,19523.598481086316
4688,2030-02-18 20:00:00,17751.340460965854,-1399.9509745915493,19151.291435557403
4689,2030-02-18 20:15:00,17444.683029472206,-1277.9978376029612,18722.680867075167
4690,2030-02-18 20:30:00,17159.190859971786,-1263.673747376888,18422.864607348674
4691,2030-02-18 20:45:00,16929.047509097523,-1154.5883724573214,18083.635881554845
4692,2030-02-18 21:00:00,16733.57034480673,-1121.6843717686643,17855.254716575393
4693,2030-02-18 21:15:00,16721.025473584905,-979.0426578503684,17700.068131435273
4694,2030-02-18 21:30:00,16441.43643765709,-1077.404729272148,17518.841166929236
4695,2030-02-18 21:45:00,16160.136632852062,-1132.7866482269328,17292.923281078994
4696,2030-02-18 22:00:00,15913.15077386443,-1446.9848377401013,17360.13561160453
4697,2030-02-18 22:15:00,15662.125754721026,-1553.3801822971363,17215.505937018163
4698,2030-02-18 22:30:00,15394.228507209598,-1498.5878638822796,16892.816371091878
4699,2030-02-18 22:45:00,15238.950009243457,-1247.7772025475133,16486.72721179097
4700,2030-02-18 23:00:00,15047.331180970796,-1123.0406112261408,16170.371792196936
4701,2030-02-18 23:15:00,14800.528246777441,-1086.214548542086,15886.742795319527
4702,2030-02-18 23:30:00,14559.742723908981,-1190.8159252671703,15750.558649176151
