,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh,Restenergiebedarf in MWh
9668,2030-04-11 18:00:00,10748.466267424843,10627.880710670535,21376.34697809538,0.0
9669,2030-04-11 18:15:00,9239.058080369043,11500.0,20739.058080369043,717.744109837884
9670,2030-04-11 18:30:00,8178.246544057379,11500.0,19678.24654405738,1870.6078634423575
9671,2030-04-11 18:45:00,7625.886409446245,11500.0,19125.886409446244,2383.9668024666826
9672,2030-04-11 19:00:00,7082.244456046553,11500.0,18582.244456046552,3144.5263045209904
9673,2030-04-11 19:15:00,6703.012170581151,855.5335873690492,7558.5457579502,14070.746505015093
9674,2030-04-11 19:30:00,6424.102051888842,0.0,6424.102051888842,15244.724221666756
9675,2030-04-11 19:45:00,6092.531485903894,0.0,6092.531485903894,15590.746028861298
9676,2030-04-11 20:00:00,5923.80827179023,0.0,5923.80827179023,15982.681183108765
9677,2030-04-11 20:15:00,5821.492595034833,0.0,5821.492595034833,15921.189281612467
9678,2030-04-11 20:30:00,5696.532222222287,0.0,5696.532222222287,15808.807909399744
9679,2030-04-11 20:45:00,5608.413765463298,0.0,5608.413765463298,15803.387635993826
9680,2030-04-11 21:00:00,5529.176294940339,0.0,5529.176294940339,15779.847516002246
9681,2030-04-11 21:15:00,5672.655952649337,0.0,5672.655952649337,15332.854794606345
9682,2030-04-11 21:30:00,5859.545662726718,0.0,5859.545662726718,14821.688338032121
9683,2030-04-11 21:45:00,6023.86224151448,0.0,6023.86224151448,14233.962124497239
9684,2030-04-11 22:00:00,6058.814724842143,0.0,6058.814724842143,14165.233899330053
9685,2030-04-11 22:15:00,6181.677462687753,0.0,6181.677462687753,13850.086791079782
9686,2030-04-11 22:30:00,6357.621661441903,0.0,6357.621661441903,13329.588345655367
9687,2030-04-11 22:45:00,6667.135224585487,0.0,6667.135224585487,12630.25851603604
9688,2030-04-11 23:00:00,6898.865770640545,0.0,6898.865770640545,12403.761315888301
9689,2030-04-11 23:15:00,7135.601117795203,0.0,7135.601117795203,11731.028870838705
9690,2030-04-11 23:30:00,7479.374416151218,0.0,7479.374416151218,11144.60980774635
9691,2030-04-11 23:45:00,7809.783445029052,0.0,7809.783445029052,10637.491853239017
9692,2030-04-12 00:00:00,8121.051710788967,0.0,8121.051710788967,10315.320541738114
9693,2030-04-12 00:15:00,8393.549865374069,0.0,8393.549865374069,9824.218499524333
9694,2030-04-12 00:30:00,8770.083784632474,0.0,8770.083784632474,9190.555809536336
9695,2030-04-12 00:45:00,9029.05706680022,0.0,9029.05706680022,8713.581181226435
9696,2030-04-12 01:00:00,9234.818233003583,0.0,9234.818233003583,8115.354078687384
9697,2030-04-12 01:15:00,9467.56949702022,0.0,9467.56949702022,7684.91018887256
9698,2030-04-12 01:30:00,9683.772449468066,0.0,9683.772449468066,7600.520479436651
9699,2030-04-12 01:45:00,9866.890317620744,0.0,9866.890317620744,7369.189618710114
9700,2030-04-12 02:00:00,10116.27506908038,0.0,10116.27506908038,7082.505791181891
9701,2030-04-12 02:15:00,10328.004784370747,0.0,10328.004784370747,6808.7849529829655
9702,2030-04-12 02:30:00,10557.98377841918,0.0,10557.98377841918,6578.8028136253415
9703,2030-04-12 02:45:00,10780.721245930798,0.0,10780.721245930798,6447.1179587420065
9704,2030-04-12 03:00:00,10986.109353691876,0.0,10986.109353691876,6446.927736688953
9705,2030-04-12 03:15:00,11204.28863327546,0.0,11204.28863327546,6300.419786001701
9706,2030-04-12 03:30:00,11414.101763202785,0.0,11414.101763202785,6231.201878596459
9707,2030-04-12 03:45:00,11637.521541780323,0.0,11637.521541780323,6093.443254222442
9708,2030-04-12 04:00:00,11796.202812251273,0.0,11796.202812251273,5996.636989667137
9709,2030-04-12 04:15:00,11837.491938352341,0.0,11837.491938352341,6133.426383437563
9710,2030-04-12 04:30:00,12013.429147074163,0.0,12013.429147074163,6201.771693165665
9711,2030-04-12 04:45:00,12234.7602700046,0.0,12234.7602700046,6174.956333133836
9712,2030-04-12 05:00:00,12870.265167099873,0.0,12870.265167099873,6199.870116089298
9713,2030-04-12 05:15:00,13128.495052207454,0.0,13128.495052207454,6228.8287165069705
9714,2030-04-12 05:30:00,13274.383392558722,0.0,13274.383392558722,6564.756796965985
9715,2030-04-12 05:45:00,13621.39009858104,0.0,13621.39009858104,6820.735788782444
9716,2030-04-12 06:00:00,14120.864009629817,0.0,14120.864009629817,7304.853058075938
9717,2030-04-12 06:15:00,15012.31144247997,0.0,15012.31144247997,6898.0132717682445
9718,2030-04-12 06:30:00,15777.139951588775,0.0,15777.139951588775,6738.954339645716
