Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
2030-06-24 15:15:00,3079.197473022804,0.0,-8400.342297394112,11479.539770416915
2030-06-24 15:30:00,3082.3569081099877,0.0,-8404.933463710342,11487.29037182033
2030-06-24 15:45:00,3121.8869122134,0.0,-8436.153756847843,11558.040669061244
2030-06-24 16:00:00,3119.1662668783965,0.0,-8455.374802081584,11574.541068959981
2030-06-24 16:15:00,3106.8424092869245,0.0,-8356.699362091444,11463.541771378368
2030-06-24 16:30:00,3227.458776849219,0.0,-8175.083714981667,11402.542491830885
2030-06-24 16:45:00,3257.7716355254242,0.0,-8110.521113465976,11368.2927489914
2030-06-24 17:00:00,3181.527855747834,0.0,-8317.766006930276,11499.29386267811
2030-06-24 17:15:00,3243.8058945570156,0.0,-8245.238748871161,11489.044643428177
2030-06-24 17:30:00,3456.216020853215,0.0,-8082.079662500924,11538.29568335414
2030-06-24 17:45:00,3551.36995800358,0.0,-7992.676362598718,11544.046320602298
2030-06-24 18:00:00,3536.8293381961275,0.0,-8114.96713607067,11651.796474266797
2030-06-24 18:15:00,3627.308743308623,0.0,-7901.9878645098315,11529.296607818455
2030-06-24 18:30:00,3855.557782399825,0.0,-7640.739711490103,11496.297493889928
2030-06-24 18:45:00,3457.986247593777,0.0,-8019.06256771995,11477.048815313727
2030-06-24 19:00:00,3295.135798274086,0.0,-8195.163516452058,11490.299314726144
2030-06-24 19:15:00,3363.27532528525,0.0,-8051.524366529679,11414.79969181493
2030-06-24 19:30:00,3355.3367875718127,0.0,-7957.963494872993,11313.300282444805
2030-06-24 19:45:00,3455.5250987847794,0.0,-7775.525949665393,11231.051048450172
2030-06-24 20:00:00,3327.576307327193,0.0,-7848.724491554606,11176.300798881799
2030-06-24 20:15:00,3422.88025533429,0.0,-7615.670859005091,11038.551114339381
2030-06-24 20:30:00,3483.691708794813,0.0,-7502.359782424737,10986.05149121955
2030-06-24 20:45:00,3445.2714396459996,0.0,-7409.780474509484,10855.051914155483
2030-06-24 21:00:00,3381.9962019836153,0.0,-7344.555030771569,10726.551232755184
2030-06-24 21:15:00,3445.528398557619,0.0,-7210.522604362055,10656.051002919674
2030-06-24 21:30:00,3493.403571091647,0.0,-7058.647806853001,10552.051377944648
2030-06-24 21:45:00,3483.6874792873723,0.0,-7028.11430011691,10511.801779404283
2030-06-24 22:00:00,3297.034129806806,0.0,-7179.016636951815,10476.05076675862
2030-06-24 22:15:00,3200.571750873908,0.0,-7216.228531649128,10416.800282523036
2030-06-24 22:30:00,3187.610999343808,0.0,-7145.188835064058,10332.799834407866
2030-06-24 22:45:00,3156.942918981593,0.0,-7100.357183878143,10257.300102859735
2030-06-24 23:00:00,3094.099653209454,0.0,-6999.4493441852865,10093.54899739474
2030-06-24 23:15:00,3027.7339921710113,0.0,-6878.315258714832,9906.049250885844
2030-06-24 23:30:00,2934.5480265315746,0.0,-6851.751668025168,9786.299694556743
2030-06-24 23:45:00,2933.2209263392087,0.0,-6690.82856541273,9624.049491751939
2030-06-25 00:00:00,2877.8127431966673,0.0,-6620.987474752186,9498.800217948854
2030-06-25 00:15:00,2892.2969722487883,0.0,-6454.253186732445,9346.550158981234
