Datum,Differenz in MWh,Kapazität in MWh,Laden/Einspeisen in MWh
2030-01-01 22:30:00,-1133.2629278538388,381486.1417373902,-1133.2629278538388
2030-01-01 22:45:00,-1378.9357522833834,382865.07748967357,-1378.9357522833834
2030-01-01 23:00:00,-1502.4116603112725,384367.48914998485,-1502.4116603112725
2030-01-01 23:15:00,-1961.8710421911856,386329.360192176,-1961.8710421911856
2030-01-01 23:30:00,-2362.532567507118,388691.89275968313,-2362.532567507118
2030-01-01 23:45:00,-2781.258667357537,391473.1514270407,-2781.258667357537
2030-01-02 00:00:00,-3109.0950461301236,394582.2464731708,-3109.0950461301236
2030-01-02 00:15:00,-3582.265190432805,398164.5116636036,-3582.265190432805
2030-01-02 00:30:00,-3930.853637213766,402095.36530081736,-3930.853637213766
2030-01-02 00:45:00,-4110.108632703776,406205.47393352113,-4110.108632703776
2030-01-02 01:00:00,-4574.618630476862,410780.092563998,-4574.618630476862
2030-01-02 01:15:00,-5014.365803074443,415794.45836707245,-5014.365803074443
2030-01-02 01:30:00,-5098.774216208869,420893.23258328135,-5098.774216208869
2030-01-02 01:45:00,-5059.406441369871,425952.6390246512,-5059.406441369871
2030-01-02 02:00:00,-5776.694678902886,431729.33370355406,-5776.694678902886
2030-01-02 02:15:00,-6531.099763821812,438260.4334673759,-6531.099763821812
2030-01-02 02:30:00,-6756.937517935632,445017.3709853115,-6756.937517935632
2030-01-02 02:45:00,-6798.790278981951,451816.1612642935,-6798.790278981951
2030-01-02 03:00:00,-6960.183844695799,458776.3451089893,-6960.183844695799
2030-01-02 03:15:00,-7169.470577695645,465945.8156866849,-7169.470577695645
2030-01-02 03:30:00,-7392.002328475011,473337.8180151599,-7392.002328475011
2030-01-02 03:45:00,-7532.468735074788,480870.2867502347,-7532.468735074788
2030-01-02 04:00:00,-7823.93127394319,488694.2180241779,-7823.93127394319
2030-01-02 04:15:00,-7876.9422382453595,496571.1602624232,-7876.9422382453595
2030-01-02 04:30:00,-7755.614792366001,504326.7750547892,-7755.614792366001
