Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh,Restenergiebedarf in MWh
2030-08-27 12:45:00,3462.8187530772307,0.0,3462.8187530772307,8206.471611486235
2030-08-27 13:00:00,3495.5315998339593,0.0,3495.5315998339593,7926.008311365402
2030-08-27 13:15:00,3531.6868779977467,0.0,3531.6868779977467,7539.852938407877
2030-08-27 13:30:00,3556.9348575287586,0.0,3556.9348575287586,7309.104489851641
2030-08-27 13:45:00,3545.1108766585953,0.0,3545.1108766585953,7203.428740604186
2030-08-27 14:00:00,3543.681680434327,0.0,3543.681680434327,7105.8575938298
2030-08-27 14:15:00,3522.3142625510327,0.0,3522.3142625510327,7051.474536667801
2030-08-27 14:30:00,3448.098609402519,0.0,3448.098609402519,7094.189848039556
2030-08-27 14:45:00,3469.682040250235,0.0,3469.682040250235,7049.356896714933
2030-08-27 15:00:00,3507.42285091977,0.0,3507.42285091977,7035.366309443606
2030-08-27 15:15:00,3598.8969963696572,0.0,3598.8969963696572,6979.642774047258
2030-08-27 15:30:00,3542.8887447546635,0.0,3542.8887447546635,7075.901627065667
2030-08-27 15:45:00,3678.993725086002,0.0,3678.993725086002,7190.046943975241
2030-08-27 16:00:00,3762.2578041906727,0.0,3762.2578041906727,7234.7832647693085
2030-08-27 16:15:00,3791.4154059303773,0.0,3791.4154059303773,7134.626365447991
2030-08-27 16:30:00,3728.2560125331765,0.0,3728.2560125331765,7172.036479297709
2030-08-27 16:45:00,3653.9325069844917,0.0,3653.9325069844917,7240.110242006908
2030-08-27 17:00:00,3715.425173131806,0.0,3715.425173131806,7319.868689546305
2030-08-27 17:15:00,3693.366879632913,0.0,3693.366879632913,7402.927763795264
2030-08-27 17:30:00,3647.4577733971746,0.0,3647.4577733971746,7487.337909956965
2030-08-27 17:45:00,3686.9989975368917,0.0,3686.9989975368917,7424.547323065406
2030-08-27 18:00:00,3715.126709492813,0.0,3715.126709492813,7438.169764773984
2030-08-27 18:15:00,3674.0936473504908,0.0,3674.0936473504908,7605.952960467964
2030-08-27 18:30:00,3597.0332138485937,0.0,3597.0332138485937,7646.514280041334
2030-08-27 18:45:00,3580.618329429836,0.0,3580.618329429836,7609.1804858838905
2030-08-27 19:00:00,3706.9260673252247,0.0,3706.9260673252247,7450.873247400919
2030-08-27 19:15:00,3955.38440854075,0.0,3955.38440854075,7173.915283274179
2030-08-27 19:30:00,4139.419947913674,0.0,4139.419947913674,7010.380334531131
2030-08-27 19:45:00,4164.2544021156,0.0,4164.2544021156,6881.796646334572
2030-08-27 20:00:00,4295.511869630633,0.0,4295.511869630633,6808.788929251166
2030-08-27 20:15:00,4386.159108654093,0.0,4386.159108654093,6732.8920056852885
2030-08-27 20:30:00,4550.8457679697385,0.0,4550.8457679697385,6585.955723249812
2030-08-27 20:45:00,4687.72071457971,0.0,4687.72071457971,6438.581199575773
2030-08-27 21:00:00,4816.929638644795,0.0,4816.929638644795,6214.121594110389
2030-08-27 21:15:00,4818.260202266198,0.0,4818.260202266198,6057.290800653476
