Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh,Restenergiebedarf in MWh
2030-01-01 16:15:00,15865.180419515847,-227.8473188996395,15637.333100616208,0.0
2030-01-01 16:30:00,15902.035790871447,-15.722779073852507,15886.313011797594,0.0
2030-01-01 16:45:00,15872.622149649562,345.65825613257584,16218.280405782138,0.0
2030-01-01 17:00:00,15930.676316849187,723.309804328821,16653.986121178008,0.0
2030-01-01 17:15:00,16225.358633932765,569.3696884641595,16794.728322396924,0.0
2030-01-01 17:30:00,16688.334164565233,248.17114322653288,16936.505307791766,0.0
2030-01-01 17:45:00,16896.965402900576,126.33547468652978,17023.300877587106,0.0
2030-01-01 18:00:00,16955.400956028217,91.07343630318792,17046.474392331405,0.0
2030-01-01 18:15:00,17172.151170412475,-190.33539007473883,16981.815780337736,0.0
2030-01-01 18:30:00,17407.16411144024,-535.3054404724971,16871.858670967744,0.0
2030-01-01 18:45:00,17515.068654100665,-799.1554923612639,16715.9131617394,0.0
2030-01-01 19:00:00,17432.397497889222,-734.1144906632835,16698.28300722594,0.0
2030-01-01 19:15:00,17457.909565641203,-949.4632213642435,16508.44634427696,0.0
2030-01-01 19:30:00,17425.458527494076,-1074.343915368936,16351.11461212514,0.0
2030-01-01 19:45:00,17355.82684823674,-1252.647233450789,16103.17961478595,0.0
2030-01-01 20:00:00,17415.684378975213,-1494.7362988022287,15920.948080172984,0.0
2030-01-01 20:15:00,17231.129768302162,-1568.4840547559852,15662.645713546177,0.0
2030-01-01 20:30:00,17077.805109699442,-1696.9758072809727,15380.82930241847,0.0
2030-01-01 20:45:00,16972.707498642376,-1851.5701208947994,15121.137377747576,0.0
2030-01-01 21:00:00,16824.291214201043,-1710.4126216497352,15113.878592551308,0.0
2030-01-01 21:15:00,16645.12109598815,-1665.0649603340353,14980.056135654115,0.0
2030-01-01 21:30:00,16380.196447285596,-1502.1460485772805,14878.050398708316,0.0
2030-01-01 21:45:00,16411.556516449746,-1595.0532786789317,14816.503237770814,0.0
2030-01-01 22:00:00,15997.325554700117,-1040.4304404241775,14956.89511427594,0.0
2030-01-01 22:15:00,15683.238981234692,-922.4105864904395,14760.828394744252,0.0
2030-01-01 22:30:00,15671.047957822644,-1133.2629278538388,14537.785029968805,0.0
2030-01-01 22:45:00,15605.152376329464,-1378.9357522833834,14226.216624046081,0.0
2030-01-01 23:00:00,15500.393351661463,-1502.4116603112725,13997.98169135019,0.0
2030-01-01 23:15:00,15602.639985899888,-1961.8710421911856,13640.768943708703,0.0
2030-01-01 23:30:00,15707.295724924297,-2362.532567507118,13344.76315741718,0.0
2030-01-01 23:45:00,15873.585230354976,-2781.258667357537,13092.32656299744,0.0
2030-01-02 00:00:00,16073.88669773575,-3109.0950461301236,12964.791651605627,0.0
2030-01-02 00:15:00,16442.28045924756,-3582.265190432805,12860.015268814754,0.0
2030-01-02 00:30:00,16548.81297681234,-3930.853637213766,12617.959339598574,0.0
2030-01-02 00:45:00,16557.934938839328,-4110.108632703776,12447.826306135552,0.0
2030-01-02 01:00:00,16907.294079389147,-4574.618630476862,12332.675448912285,0.0
2030-01-02 01:15:00,17218.40177613089,-5014.365803074443,12204.035973056447,0.0
2030-01-02 01:30:00,17300.73556221875,-5098.774216208869,12201.96134600988,0.0
2030-01-02 01:45:00,17321.88523367769,-5059.406441369871,12262.47879230782,0.0
2030-01-02 02:00:00,18011.511536060116,-5776.694678902886,12234.81685715723,0.0
2030-01-02 02:15:00,18654.91522723258,-6531.099763821812,12123.815463410769,0.0
2030-01-02 02:30:00,18932.275524291086,-6756.937517935632,12175.338006355454,0.0
2030-01-02 02:45:00,19073.02817651587,-6798.790278981951,12274.237897533918,0.0
2030-01-02 03:00:00,19339.54920822129,-6960.183844695799,12379.365363525492,0.0
2030-01-02 03:15:00,19572.010509148342,-7169.470577695645,12402.539931452697,0.0
2030-01-02 03:30:00,19872.692199797923,-7392.002328475011,12480.689871322911,0.0
2030-01-02 03:45:00,20149.055879575302,-7532.468735074788,12616.587144500514,0.0
2030-01-02 04:00:00,20601.659192519128,-7823.93127394319,12777.727918575938,0.0
2030-01-02 04:15:00,20834.48320252041,-7876.9422382453595,12957.54096427505,0.0
2030-01-02 04:30:00,20918.906096661565,-7755.614792366001,13163.291304295564,0.0
2030-01-02 04:45:00,21163.566394960413,-7779.6549938657045,13383.911401094709,0.0
2030-01-02 05:00:00,21097.364089612387,-7437.506698570474,13659.857391041913,0.0
2030-01-02 05:15:00,21076.98929474156,-7172.309560527401,13904.67973421416,0.0
2030-01-02 05:30:00,21233.93370531332,-6991.7537650121485,14242.179940301172,0.0
2030-01-02 05:45:00,21610.75168057534,-6842.958890533811,14767.792790041529,0.0
2030-01-02 06:00:00,22069.87602340947,-6506.747289536752,15563.128733872718,0.0
2030-01-02 06:15:00,22529.620531226123,-6466.809629196927,16062.810902029196,0.0
2030-01-02 06:30:00,22655.456155408414,-6092.27625925525,16563.179896153164,0.0
2030-01-02 06:45:00,22815.326733210564,-5894.937150027781,16920.389583182783,0.0
2030-01-02 07:00:00,23022.113292999882,-5587.171174952946,17434.942118046936,0.0
2030-01-02 07:15:00,23152.240104990262,-5289.543699360656,17862.696405629606,0.0
2030-01-02 07:30:00,23308.537145577837,-4964.8368763635735,18343.700269214263,0.0
2030-01-02 07:45:00,23701.015934796585,-4974.173395225451,18726.842539571135,0.0
2030-01-02 08:00:00,23844.634560518833,-4633.331781201017,19211.302779317815,0.0
2030-01-02 08:15:00,23989.497214516705,-4613.59577796156,19375.901436555145,0.0
