,Datum,Photovoltaik,Wind Onshore,Wind Offshore,Wasserkraft,Biomasse,Sonstige Erneuerbare
14983,2030-06-06 01:45:00,0.0,1439.4543828403146,2554.689039718022,533.5624,963.2706900000001,25.248935
14984,2030-06-06 02:00:00,0.0,1374.1590368196566,2561.4474763310327,514.2684025,960.888715,25.248935
14985,2030-06-06 02:15:00,0.0,1330.5466736285002,2551.002619747289,529.0366475,962.3179,25.248935
14986,2030-06-06 02:30:00,0.0,1295.8046215948673,2542.400973148912,546.90146,962.794295,25.248935
14987,2030-06-06 02:45:00,0.0,1281.0207696656616,2532.5705198936234,557.6203475,963.5088875,25.0107375
14988,2030-06-06 03:00:00,0.0,1286.9343104373438,2518.4392433391467,533.3242025000001,967.08185,25.0107375
14989,2030-06-06 03:15:00,0.0,1285.4559252444233,2508.6087900838584,539.27914,972.5603925,25.0107375
14990,2030-06-06 03:30:00,0.0,1275.353626426133,2510.452000069225,551.189015,974.9423675,25.0107375
14991,2030-06-06 03:45:00,7.547482565745085,1274.1216387653656,2509.2231934123142,544.99588,974.4659725,25.0107375
14992,2030-06-06 04:00:00,43.60767704652715,1272.1504585081384,2498.7783368285704,529.5130425,981.6118975,25.0107375
14993,2030-06-06 04:15:00,119.08250270397798,1287.9199005659575,2505.5367734415813,560.2405200000001,984.4702675,25.0107375
14994,2030-06-06 04:30:00,288.4815558462566,1266.4833152686094,2520.896856652969,543.0903000000001,989.2342175,25.0107375
14995,2030-06-06 04:45:00,555.9978823432212,1206.3623174231736,2534.4137298789897,551.9036075,1001.6204875000001,25.0107375
14996,2030-06-06 05:00:00,930.0175739345887,1150.6764751564992,2528.8840999228905,597.1611325,1023.772855,25.0107375
14997,2030-06-06 05:15:00,1442.4077792312828,1103.8609440473485,2514.7528233684134,603.11607,1033.7771500000001,25.0107375
14998,2030-06-06 05:30:00,2071.3646597100396,1028.7096967405535,2540.557763163545,646.468015,1044.4960375,25.0107375
14999,2030-06-06 05:45:00,2849.593973155755,941.9777654225476,2536.256939864357,667.1911975,1050.2127775000001,25.0107375
15000,2030-06-06 06:00:00,3791.3520755259474,846.3755229470182,2511.6808067261363,671.71695,1053.78574,25.0107375
15001,2030-06-06 06:15:00,4859.740163165863,749.0484977464149,2510.452000069225,658.37789,1063.0754425,25.0107375
15002,2030-06-06 06:30:00,5985.992283809824,649.011099692124,2505.5367734415813,653.8521375,1065.695615,25.0107375
15003,2030-06-06 06:45:00,7191.912275981094,547.4953164449125,2507.3799834269475,615.7405375000001,1067.3629975000001,25.0107375
15004,2030-06-06 07:00:00,8496.78815068102,477.764814845493,2508.6087900838584,624.3156475000001,1064.2664300000001,25.0107375
15005,2030-06-06 07:15:00,9715.287280461867,424.0501528360461,2495.0919168578375,631.6997700000001,1058.7878875000001,25.0107375
15006,2030-06-06 07:30:00,11042.805602859029,386.8441254808788,2477.888623661083,600.734095,1049.02179,25.0107375
15007,2030-06-06 07:45:00,12348.52008673293,354.56604876878,2513.5240167115026,581.678295,1044.0196425,24.77254
15008,2030-06-06 08:00:00,13723.83913204648,348.8989055292512,2520.2824533245134,610.2619950000001,1028.7750025,24.77254
15009,2030-06-06 08:15:00,14911.309722390371,352.1020734472457,2519.053646667602,585.2512575000001,1023.772855,24.77254
15010,2030-06-06 08:30:00,16023.305487076816,362.4507697976896,2485.261463602549,560.716915,1011.86298,24.77254
15011,2030-06-06 08:45:00,17158.78230863446,390.7864859953336,2469.286977062706,533.5624,1011.6247825,24.77254
15012,2030-06-06 09:00:00,18176.015236662108,430.94928373634207,2500.621546813937,586.6804425,990.9016,24.77254
15013,2030-06-06 09:15:00,18917.34574645307,450.1682912443092,2499.392740157026,530.227635,988.2814275000001,24.77254
15014,2030-06-06 09:30:00,19793.692333253468,470.12649134873675,2498.163933500115,511.4100325,981.6118975,24.77254
15015,2030-06-06 09:45:00,20450.323316473292,497.476617417767,2509.837596740769,511.64823,985.8994525,24.77254
15016,2030-06-06 10:00:00,21124.56509234652,540.5961855446167,2494.477513529382,534.038795,978.991725,24.77254
15017,2030-06-06 10:15:00,21707.39846825683,599.7315932614388,2470.5157837196166,535.7061775,973.75138,24.77254
15018,2030-06-06 10:30:00,22203.855099248067,653.6926528030391,2469.286977062706,530.9422275000001,972.79859,24.5343425
15019,2030-06-06 10:45:00,22556.070952316168,680.5499838077625,2468.67257373425,515.935785,972.5603925,24.5343425
15020,2030-06-06 11:00:00,22831.134761378882,709.8712901340201,2423.2067274285423,527.6074625,965.8908625,24.5343425
15021,2030-06-06 11:15:00,23128.841018138824,726.3799247882998,2378.9696877797455,579.5345175,963.0324925,24.5343425
15022,2030-06-06 11:30:00,23081.04029522244,738.699801395971,2404.160224246421,569.76842,963.2706900000001,24.296145
15023,2030-06-06 11:45:00,23028.207917262225,756.1940261788643,2484.6470602740937,554.7619775000001,962.5560975000001,24.296145
15024,2030-06-06 12:00:00,22880.612702643208,780.0945867977466,2414.605080830165,589.5388125000001,958.2685425000001,24.0579475
15025,2030-06-06 12:15:00,22551.877906446312,801.5311720950947,2375.8976711374676,545.7104725,958.50674,24.0579475
15026,2030-06-06 12:30:00,22252.494431338426,831.3452734856592,2337.1902614447704,526.416475,953.266395,24.296145
15027,2030-06-06 12:45:00,21914.53493422784,837.5052117894949,2355.622361298436,513.077415,957.0775550000001,24.296145
15028,2030-06-06 13:00:00,21625.21476920761,863.623350197758,2469.901380391161,473.06023500000003,955.8865675000001,24.296145
15029,2030-06-06 13:15:00,21168.172769393048,912.9028566284433,2557.7610563603,476.871395,958.030345,24.296145
15030,2030-06-06 13:30:00,20689.32693105522,925.7155283004213,2595.2396593960857,473.7748275,959.2213325,24.296145
15031,2030-06-06 13:45:00,20251.572942242005,950.3552815157639,2602.612499337552,478.53877750000004,958.9831350000001,24.0579475
15032,2030-06-06 14:00:00,19613.39136084956,973.516649538186,2592.7820460822636,476.871395,956.124765,24.0579475
15033,2030-06-06 14:15:00,18899.73495379966,1003.577148460904,2572.506736243232,482.3499375,957.3157525,24.0579475
15034,2030-06-06 14:30:00,18191.948810967566,1003.8235459930575,2582.9515928269752,512.3628225,958.7449375,24.0579475
15035,2030-06-06 14:45:00,17351.66241864795,1009.9834842968929,2506.1511767700363,540.23193,966.12906,24.0579475
15036,2030-06-06 15:00:00,16446.80311993251,1040.043983219611,2450.8548772090408,502.596725,975.180565,23.81975
15037,2030-06-06 15:15:00,15474.85508729934,1086.8595143287619,2507.3799834269475,494.49801,979.7063175000001,23.81975
15038,2030-06-06 15:30:00,14556.578041800354,1110.513677415491,2515.9816300253246,556.905755,983.0410825,23.81975
15039,2030-06-06 15:45:00,13567.857825687748,1116.427218187173,2434.8803906691974,624.07745,985.1848600000001,24.0579475
15040,2030-06-06 16:00:00,12465.925371088964,1140.3277788060554,2370.3680411813684,509.0280575,989.7106125,24.0579475
15041,2030-06-06 16:15:00,11244.910413786205,1140.5741763382086,2322.4445815618383,539.0409425,994.71276,24.0579475
15042,2030-06-06 16:30:00,10122.851339012102,1192.0712605582748,2321.215774904927,588.3478250000001,998.0475250000001,24.0579475
15043,2030-06-06 16:45:00,8975.633989018848,1209.5654853411681,2370.3680411813684,581.9164925,1003.28787,24.0579475
15044,2030-06-06 17:00:00,7806.612800502332,1220.6533742880724,2438.5668106399303,563.3370875,1017.3415225,24.0579475
15045,2030-06-06 17:15:00,6708.873391773408,1204.883932230253,2496.3207235147484,571.9121975,1024.4874475,24.0579475
15046,2030-06-06 17:30:00,5699.18794631151,1214.247038452083,2523.354469966791,645.03883,1031.395175,24.0579475
15047,2030-06-06 17:45:00,4691.179719197557,1196.0136210727296,2570.663526257865,632.176165,1039.7320875,24.0579475
15048,2030-06-06 18:00:00,3785.4818113081456,1161.7643641034035,2600.15488602373,608.356415,1050.92737,24.0579475
15049,2030-06-06 18:15:00,3031.5721639076087,1172.3594579860007,2593.3964494107195,642.18046,1056.64411,24.296145
15050,2030-06-06 18:30:00,2356.49177886041,1171.866662921694,2601.3836926806407,677.1954925,1058.54969,24.296145
15051,2030-06-06 18:45:00,1862.5509753910924,1185.6649247222858,2620.4301958627616,684.3414175,1059.50248,24.296145
15052,2030-06-06 19:00:00,1397.1228838368124,1150.6764751564992,2628.4174391326837,678.862875,1060.931665,24.296145
15053,2030-06-06 19:15:00,988.7202161126061,1116.1808206550197,2635.175875745694,690.77275,1061.1698625000001,24.296145
15054,2030-06-06 19:30:00,637.3429722184737,1078.9747932998525,2633.947069088783,690.77275,1058.073295,24.5343425
15055,2030-06-06 19:45:00,346.3455888503022,1051.624667230822,2633.332665760328,666.2384075,1059.7406775,24.5343425
15056,2030-06-06 20:00:00,149.27243296695832,1054.8278351488166,2601.3836926806407,662.665445,1054.0239375,24.77254
15057,2030-06-06 20:15:00,48.639332090357215,1089.0770921181427,2506.1511767700363,657.9014950000001,1055.6913200000001,24.77254
