Datum,Gesamterzeugung_EE,Speicher Ladeleistung,Speicher Entladeleistung,Speicher + Erneuerbare in MWh,Leistung Flexkraftwerk,EE + Speicher + Flexible in MWh
2030-09-22 18:15:00,5735.398642947572,0.0,0.0,5735.398642947572,47.0,5782.398642947572
2030-09-22 18:30:00,5839.992984826399,0.0,0.0,5839.992984826399,47.0,5886.992984826399
2030-09-22 18:45:00,6040.319839057251,0.0,0.0,6040.319839057251,47.0,6087.319839057251
2030-09-22 19:00:00,6290.779509713796,0.0,0.0,6290.779509713796,47.0,6337.779509713796
2030-09-22 19:15:00,6616.667971682983,0.0,0.0,6616.667971682983,47.0,6663.667971682983
2030-09-22 19:30:00,6741.694191776169,0.0,0.0,6741.694191776169,47.0,6788.694191776169
2030-09-22 19:45:00,6764.414724222946,0.0,0.0,6764.414724222946,47.0,6811.414724222946
2030-09-22 20:00:00,6919.4828483093515,0.0,0.0,6919.4828483093515,47.0,6966.4828483093515
2030-09-22 20:15:00,6999.825539128952,0.0,0.0,6999.825539128952,47.0,7046.825539128952
2030-09-22 20:30:00,6980.766738107218,0.0,0.0,6980.766738107218,47.0,7027.766738107218
2030-09-22 20:45:00,7117.578596502499,0.0,0.0,7117.578596502499,47.0,7164.578596502499
2030-09-22 21:00:00,7223.020054797962,0.0,0.0,7223.020054797962,47.0,7270.020054797962
2030-09-22 21:15:00,7384.747377748706,0.0,0.0,7384.747377748706,47.0,7431.747377748706
2030-09-22 21:30:00,7514.907790704642,0.0,0.0,7514.907790704642,47.0,7561.907790704642
2030-09-22 21:45:00,7724.044484185141,0.0,0.0,7724.044484185141,47.0,7771.044484185141
2030-09-22 22:00:00,7951.75903519384,0.0,0.0,7951.75903519384,47.0,7998.75903519384
2030-09-22 22:15:00,8180.722034378907,0.0,0.0,8180.722034378907,47.0,8227.722034378907
2030-09-22 22:30:00,8333.156335325222,0.0,0.0,8333.156335325222,47.0,8380.156335325222
2030-09-22 22:45:00,8367.694371604932,0.0,0.0,8367.694371604932,47.0,8414.694371604932
2030-09-22 23:00:00,8400.41036358065,0.0,0.0,8400.41036358065,47.0,8447.41036358065
2030-09-22 23:15:00,8457.475334191906,0.0,0.0,8457.475334191906,47.0,8504.475334191906
2030-09-22 23:30:00,8532.547868424488,0.0,0.0,8532.547868424488,47.0,8579.547868424488
2030-09-22 23:45:00,8674.683985558979,0.0,0.0,8674.683985558979,47.0,8721.683985558979
2030-09-23 00:00:00,8920.874779555823,0.0,0.0,8920.874779555823,47.0,8967.874779555823
2030-09-23 00:15:00,9163.311385225277,0.0,0.0,9163.311385225277,47.0,9210.311385225277
2030-09-23 00:30:00,9337.01658725414,0.0,0.0,9337.01658725414,47.0,9384.01658725414
2030-09-23 00:45:00,9436.392967264503,0.0,0.0,9436.392967264503,47.0,9483.392967264503
2030-09-23 01:00:00,9607.022822825043,0.0,0.0,9607.022822825043,47.0,9654.022822825043
2030-09-23 01:15:00,9784.186499653535,0.0,0.0,9784.186499653535,47.0,9831.186499653535
2030-09-23 01:30:00,10011.969513378048,0.0,0.0,10011.969513378048,47.0,10058.969513378048
2030-09-23 01:45:00,10045.2791937105,0.0,0.0,10045.2791937105,47.0,10092.2791937105
2030-09-23 02:00:00,10144.558640092897,0.0,0.0,10144.558640092897,47.0,10191.558640092897
2030-09-23 02:15:00,10241.138172743194,0.0,0.0,10241.138172743194,47.0,10288.138172743194
2030-09-23 02:30:00,10280.760278211335,0.0,0.0,10280.760278211335,47.0,10327.760278211335
2030-09-23 02:45:00,10481.67883635508,0.0,0.0,10481.67883635508,47.0,10528.67883635508
2030-09-23 03:00:00,10763.306671767026,0.0,0.0,10763.306671767026,47.0,10810.306671767026
2030-09-23 03:15:00,11020.30111925956,0.0,0.0,11020.30111925956,47.0,11067.30111925956
2030-09-23 03:30:00,11299.70569742153,0.0,0.0,11299.70569742153,47.0,11346.70569742153
2030-09-23 03:45:00,11523.200253206738,0.0,0.0,11523.200253206738,47.0,11570.200253206738
2030-09-23 04:00:00,11765.68955882386,0.0,0.0,11765.68955882386,47.0,11812.68955882386
2030-09-23 04:15:00,11844.533841580604,0.0,0.0,11844.533841580604,47.0,11891.533841580604
2030-09-23 04:30:00,12049.403841545362,0.0,0.0,12049.403841545362,47.0,12096.403841545362
2030-09-23 04:45:00,12004.662933371945,0.0,0.0,12004.662933371945,47.0,12051.662933371945
2030-09-23 05:00:00,12119.037711555538,0.0,0.0,12119.037711555538,47.0,12166.037711555538
2030-09-23 05:15:00,12255.410020663297,0.0,0.0,12255.410020663297,47.0,12302.410020663297
2030-09-23 05:30:00,12218.536383748109,0.0,0.0,12218.536383748109,47.0,12265.536383748109
2030-09-23 05:45:00,12086.516565717679,0.0,0.0,12086.516565717679,47.0,12133.516565717679
2030-09-23 06:00:00,12097.520879616512,0.0,0.0,12097.520879616512,47.0,12144.520879616512
2030-09-23 06:15:00,12281.416734058721,0.0,0.0,12281.416734058721,47.0,12328.416734058721
2030-09-23 06:30:00,12526.422358443244,0.0,0.0,12526.422358443244,47.0,12573.422358443244
2030-09-23 06:45:00,12779.411409023372,0.0,0.0,12779.411409023372,47.0,12826.411409023372
2030-09-23 07:00:00,12923.629115838141,0.0,0.0,12923.629115838141,47.0,12970.629115838141
2030-09-23 07:15:00,12936.870385349588,0.0,0.0,12936.870385349588,47.0,12983.870385349588
2030-09-23 07:30:00,12940.005277085742,0.0,0.0,12940.005277085742,47.0,12987.005277085742
2030-09-23 07:45:00,12934.705735243491,0.0,0.0,12934.705735243491,47.0,12981.705735243491
2030-09-23 08:00:00,13043.549394817392,0.0,0.0,13043.549394817392,47.0,13090.549394817392
2030-09-23 08:15:00,13248.877486522742,0.0,0.0,13248.877486522742,47.0,13295.877486522742
2030-09-23 08:30:00,13669.074942008681,0.0,0.0,13669.074942008681,47.0,13716.074942008681
2030-09-23 08:45:00,14243.660696179353,0.0,0.0,14243.660696179353,47.0,14290.660696179353
2030-09-23 09:00:00,14773.96003659366,0.0,0.0,14773.96003659366,47.0,14820.96003659366
2030-09-23 09:15:00,15338.382950920308,0.0,0.0,15338.382950920308,47.0,15385.382950920308
2030-09-23 09:30:00,15948.990783684503,0.0,0.0,15948.990783684503,47.0,15995.990783684503
2030-09-23 09:45:00,16672.674772839528,0.0,0.0,16672.674772839528,47.0,16719.674772839528
2030-09-23 10:00:00,17334.97333942772,242.9669279031259,0.0,17092.006411524595,0.0,17092.006411524595
2030-09-23 10:15:00,17762.79536894369,157.0330720968741,0.0,17605.762296846817,0.0,17605.762296846817
2030-09-23 10:30:00,18214.627752633536,0.0,0.0,18214.627752633536,0.0,18214.627752633536
2030-09-23 10:45:00,18585.460669914773,0.0,0.0,18585.460669914773,0.0,18585.460669914773
2030-09-23 11:00:00,19245.945417674884,0.0,0.0,19245.945417674884,0.0,19245.945417674884
2030-09-23 11:15:00,19692.390584696437,0.0,0.0,19692.390584696437,0.0,19692.390584696437
2030-09-23 11:30:00,19756.80602979557,0.0,0.0,19756.80602979557,0.0,19756.80602979557
2030-09-23 11:45:00,20097.017824474788,0.0,0.0,20097.017824474788,0.0,20097.017824474788
2030-09-23 12:00:00,20521.785143930836,0.0,0.0,20521.785143930836,0.0,20521.785143930836
2030-09-23 12:15:00,20587.127865312632,0.0,0.0,20587.127865312632,0.0,20587.127865312632
2030-09-23 12:30:00,20290.803099418466,0.0,0.0,20290.803099418466,0.0,20290.803099418466
2030-09-23 12:45:00,20297.11974037856,0.0,0.0,20297.11974037856,0.0,20297.11974037856
2030-09-23 13:00:00,20116.828442306414,0.0,0.0,20116.828442306414,0.0,20116.828442306414
2030-09-23 13:15:00,19970.616981395135,0.0,0.0,19970.616981395135,0.0,19970.616981395135
2030-09-23 13:30:00,19819.295717930487,0.0,0.0,19819.295717930487,0.0,19819.295717930487
2030-09-23 13:45:00,19355.170324049628,0.0,0.0,19355.170324049628,0.0,19355.170324049628
2030-09-23 14:00:00,18770.893378935638,0.0,0.0,18770.893378935638,0.0,18770.893378935638
2030-09-23 14:15:00,18390.416628134873,0.0,0.0,18390.416628134873,0.0,18390.416628134873
