Datum,Gesamterzeugung_EE,Speicher Ladeleistung,Speicher Entladeleistung,Speicher + Erneuerbare in MWh
2030-01-01 14:30:00,20138.209780262372,0.0,0.0,20138.209780262372
2030-01-01 14:45:00,19668.069722616165,0.0,0.0,19668.069722616165
2030-01-01 15:00:00,19490.39106842125,0.0,0.0,19490.39106842125
2030-01-01 15:15:00,18788.640216316824,0.0,0.0,18788.640216316824
2030-01-01 15:30:00,17804.351562171894,0.0,0.0,17804.351562171894
2030-01-01 15:45:00,16879.901465643114,0.0,0.0,16879.901465643114
2030-01-01 16:00:00,16113.16850358356,0.0,0.0,16113.16850358356
2030-01-01 16:15:00,15865.180419515847,0.0,0.0,15865.180419515847
2030-01-01 16:30:00,15902.035790871447,0.0,0.0,15902.035790871447
2030-01-01 16:45:00,15872.622149649562,0.0,250.0,16122.622149649562
2030-01-01 17:00:00,15930.676316849187,0.0,150.0,16080.676316849187
2030-01-01 17:15:00,16225.358633932765,0.0,0.0,16225.358633932765
2030-01-01 17:30:00,16688.334164565233,0.0,0.0,16688.334164565233
2030-01-01 17:45:00,16896.965402900576,0.0,0.0,16896.965402900576
2030-01-01 18:00:00,16955.400956028217,0.0,0.0,16955.400956028217
2030-01-01 18:15:00,17172.151170412475,190.33539007473883,0.0,16981.815780337736
2030-01-01 18:30:00,17407.16411144024,209.66460992526117,0.0,17197.49950151498
2030-01-01 18:45:00,17515.068654100665,0.0,0.0,17515.068654100665
2030-01-01 19:00:00,17432.397497889222,0.0,0.0,17432.397497889222
2030-01-01 19:15:00,17457.909565641203,0.0,0.0,17457.909565641203
2030-01-01 19:30:00,17425.458527494076,0.0,0.0,17425.458527494076
2030-01-01 19:45:00,17355.82684823674,0.0,0.0,17355.82684823674
2030-01-01 20:00:00,17415.684378975213,0.0,0.0,17415.684378975213
2030-01-01 20:15:00,17231.129768302162,0.0,0.0,17231.129768302162
2030-01-01 20:30:00,17077.805109699442,0.0,0.0,17077.805109699442
2030-01-01 20:45:00,16972.707498642376,0.0,0.0,16972.707498642376
2030-01-01 21:00:00,16824.291214201043,0.0,0.0,16824.291214201043
2030-01-01 21:15:00,16645.12109598815,0.0,0.0,16645.12109598815
2030-01-01 21:30:00,16380.196447285596,0.0,0.0,16380.196447285596
2030-01-01 21:45:00,16411.556516449746,0.0,0.0,16411.556516449746
2030-01-01 22:00:00,15997.325554700117,0.0,0.0,15997.325554700117
2030-01-01 22:15:00,15683.238981234692,0.0,0.0,15683.238981234692
2030-01-01 22:30:00,15671.047957822644,0.0,0.0,15671.047957822644
2030-01-01 22:45:00,15605.152376329464,0.0,0.0,15605.152376329464
2030-01-01 23:00:00,15500.393351661463,0.0,0.0,15500.393351661463
2030-01-01 23:15:00,15602.639985899888,0.0,0.0,15602.639985899888
2030-01-01 23:30:00,15707.295724924297,0.0,0.0,15707.295724924297
2030-01-01 23:45:00,15873.585230354976,0.0,0.0,15873.585230354976
2030-01-02 00:00:00,16073.88669773575,0.0,0.0,16073.88669773575
2030-01-02 00:15:00,16442.28045924756,0.0,0.0,16442.28045924756
2030-01-02 00:30:00,16548.81297681234,0.0,0.0,16548.81297681234
2030-01-02 00:45:00,16557.934938839328,0.0,0.0,16557.934938839328
2030-01-02 01:00:00,16907.294079389147,0.0,0.0,16907.294079389147
2030-01-02 01:15:00,17218.40177613089,0.0,0.0,17218.40177613089
2030-01-02 01:30:00,17300.73556221875,0.0,0.0,17300.73556221875
2030-01-02 01:45:00,17321.88523367769,0.0,0.0,17321.88523367769
2030-01-02 02:00:00,18011.511536060116,0.0,0.0,18011.511536060116
2030-01-02 02:15:00,18654.91522723258,0.0,0.0,18654.91522723258
2030-01-02 02:30:00,18932.275524291086,0.0,0.0,18932.275524291086
2030-01-02 02:45:00,19073.02817651587,0.0,0.0,19073.02817651587
2030-01-02 03:00:00,19339.54920822129,0.0,0.0,19339.54920822129
2030-01-02 03:15:00,19572.010509148342,0.0,0.0,19572.010509148342
2030-01-02 03:30:00,19872.692199797923,0.0,0.0,19872.692199797923
2030-01-02 03:45:00,20149.055879575302,0.0,0.0,20149.055879575302
2030-01-02 04:00:00,20601.659192519128,0.0,0.0,20601.659192519128
2030-01-02 04:15:00,20834.48320252041,0.0,0.0,20834.48320252041
2030-01-02 04:30:00,20918.906096661565,0.0,0.0,20918.906096661565
2030-01-02 04:45:00,21163.566394960413,0.0,0.0,21163.566394960413
2030-01-02 05:00:00,21097.364089612387,0.0,0.0,21097.364089612387
2030-01-02 05:15:00,21076.98929474156,0.0,0.0,21076.98929474156
2030-01-02 05:30:00,21233.93370531332,0.0,0.0,21233.93370531332
