Datum,Differenz in MWh,positive Werte,negative Werte
2030-01-03 16:15:00,-6586.0769287904,0.0,-6586.0769287904
2030-01-03 16:30:00,-6615.775127578849,0.0,-6615.775127578849
2030-01-03 16:45:00,-6171.500669391564,0.0,-6171.500669391564
2030-01-03 17:00:00,-5990.593187122806,0.0,-5990.593187122806
2030-01-03 17:15:00,-5780.831974049397,0.0,-5780.831974049397
2030-01-03 17:30:00,-5875.657216181244,0.0,-5875.657216181244
2030-01-03 17:45:00,-5915.894398465072,0.0,-5915.894398465072
2030-01-03 18:00:00,-5298.680200833482,0.0,-5298.680200833482
2030-01-03 18:15:00,-5177.542325456099,0.0,-5177.542325456099
2030-01-03 18:30:00,-4952.216880973585,0.0,-4952.216880973585
2030-01-03 18:45:00,-4619.913248601595,0.0,-4619.913248601595
2030-01-03 19:00:00,-3895.690030458263,0.0,-3895.690030458263
2030-01-03 19:15:00,-3042.0442382261353,0.0,-3042.0442382261353
2030-01-03 19:30:00,-2703.1251003714424,0.0,-2703.1251003714424
2030-01-03 19:45:00,-2456.0307254099316,0.0,-2456.0307254099316
2030-01-03 20:00:00,-1716.381364971323,0.0,-1716.381364971323
2030-01-03 20:15:00,-899.3295990356819,0.0,-899.3295990356819
2030-01-03 20:30:00,64.16463812404982,64.16463812404982,0.0
2030-01-03 20:45:00,796.997776841843,796.997776841843,0.0
2030-01-03 21:00:00,1171.5493099793966,1171.5493099793966,0.0
2030-01-03 21:15:00,1872.220255387634,1872.220255387634,0.0
2030-01-03 21:30:00,2268.9179527139095,2268.9179527139095,0.0
2030-01-03 21:45:00,2565.2602268543596,2565.2602268543596,0.0
2030-01-03 22:00:00,2710.4255763274377,2710.4255763274377,0.0
2030-01-03 22:15:00,3303.9835817056155,3303.9835817056155,0.0
2030-01-03 22:30:00,3649.0223370440326,3649.0223370440326,0.0
2030-01-03 22:45:00,4100.260994213833,4100.260994213833,0.0
2030-01-03 23:00:00,4670.602031317765,4670.602031317765,0.0
2030-01-03 23:15:00,5437.238826924073,5437.238826924073,0.0
2030-01-03 23:30:00,5793.624639340396,5793.624639340396,0.0
2030-01-03 23:45:00,5654.761042396793,5654.761042396793,0.0
2030-01-04 00:00:00,5838.763291310443,5838.763291310443,0.0
2030-01-04 00:15:00,6245.5175738044,6245.5175738044,0.0
2030-01-04 00:30:00,6810.132940762858,6810.132940762858,0.0
2030-01-04 00:45:00,6943.421862113384,6943.421862113384,0.0
2030-01-04 01:00:00,7166.332513832331,7166.332513832331,0.0
2030-01-04 01:15:00,7409.425981231168,7409.425981231168,0.0
2030-01-04 01:30:00,7527.066744255413,7527.066744255413,0.0
2030-01-04 01:45:00,7636.477200389045,7636.477200389045,0.0
2030-01-04 02:00:00,7702.582600193828,7702.582600193828,0.0
2030-01-04 02:15:00,7816.015457029627,7816.015457029627,0.0
2030-01-04 02:30:00,7772.571960902256,7772.571960902256,0.0
2030-01-04 02:45:00,7259.060197177721,7259.060197177721,0.0
2030-01-04 03:00:00,6563.537729139742,6563.537729139742,0.0
2030-01-04 03:15:00,6536.723414150747,6536.723414150747,0.0
2030-01-04 03:30:00,6511.028544781771,6511.028544781771,0.0
2030-01-04 03:45:00,6489.769759916859,6489.769759916859,0.0
2030-01-04 04:00:00,6197.47786682822,6197.47786682822,0.0
2030-01-04 04:15:00,6633.166481764045,6633.166481764045,0.0
2030-01-04 04:30:00,6811.388111382528,6811.388111382528,0.0
2030-01-04 04:45:00,6888.596159176697,6888.596159176697,0.0
2030-01-04 05:00:00,7457.033862440381,7457.033862440381,0.0
2030-01-04 05:15:00,7691.90145261036,7691.90145261036,0.0
2030-01-04 05:30:00,7808.148721195423,7808.148721195423,0.0
2030-01-04 05:45:00,8084.779787038493,8084.779787038493,0.0
2030-01-04 06:00:00,8605.45005361471,8605.45005361471,0.0
2030-01-04 06:15:00,9176.701241679599,9176.701241679599,0.0
2030-01-04 06:30:00,9143.281409417683,9143.281409417683,0.0
2030-01-04 06:45:00,9024.813468799224,9024.813468799224,0.0
2030-01-04 07:00:00,8785.764285772071,8785.764285772071,0.0
2030-01-04 07:15:00,8570.13072102581,8570.13072102581,0.0
2030-01-04 07:30:00,8369.396499756538,8369.396499756538,0.0
2030-01-04 07:45:00,8156.490579077476,8156.490579077476,0.0
2030-01-04 08:00:00,7811.240293458744,7811.240293458744,0.0
